MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-94453,65214-69531,65214-52922,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-25290,65214-69531,65214-6767,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-25290,65214-69531,65214-90912,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,,,,,
65214-69531,65214-11612,65214-94453,65214-52922,65214-6498,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-41235,65214-69531,65214-90912,,,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-69531,65214-73687,65214-6767,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
,,,,,,65214-43433:Boston Scott,65214-43433,RB,Boston,Boston Scott,Scott,1.5,1,5500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-68155:Codey McElroy,65214-68155,TE,Codey,Codey McElroy,McElroy,0.25,2,5500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-41221:Andre Patton,65214-41221,WR,Andre,Andre Patton,Patton,0,2,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-83083:Justin Watson,65214-83083,WR,Justin,Justin Watson,Watson,2.57999992370605,5,5000,TB@PHI,TB,PHI,NA,Knee,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-64907:JJ Arcega-Whiteside,65214-64907,WR,JJ,JJ Arcega-Whiteside,Arcega-Whiteside,3.7,5,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-69518:T.J. Simmons Jr.,65214-69518,WR,T.J.,T.J. Simmons Jr.,Simmons Jr.,,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-42142:Jordan Howard,65214-42142,RB,Jordan,Jordan Howard,Howard,3.77500009536743,8,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-64926:Michael Jacquet III,65214-64926,WR,Michael,Michael Jacquet III,Jacquet III,0,1,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-29985:Jaydon Mickens,65214-29985,WR,Jaydon,Jaydon Mickens,Mickens,0,4,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-33702:Ryan Griffin,65214-33702,QB,Ryan,Ryan Griffin,Griffin,,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-47788:Deon Yelder,65214-47788,TE,Deon,Deon Yelder,Yelder,1.18333331743876,6,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-64175:Hakeem Butler,65214-64175,WR,Hakeem,Hakeem Butler,Butler,0,2,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-79920:Cyril Grayson,65214-79920,WR,Cyril,Cyril Grayson,Grayson,0,2,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-69304:Kyle Trask,65214-69304,QB,Kyle,Kyle Trask,Trask,,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-6714:Joe Flacco,65214-6714,QB,Joe,Joe Flacco,Flacco,11.5519996643066,5,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-73147:Nick Eubanks,65214-73147,TE,Nick,Nick Eubanks,Eubanks,,,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-92093:Jaelon Darden,65214-92093,WR,Jaelon,Jaelon Darden,Darden,0.5,1,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-30654:Jerell Adams,65214-30654,TE,Jerell,Jerell Adams,Adams,0,1,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-70206:Jason Huntley,65214-70206,RB,Jason,Jason Huntley,Huntley,0.480000019073486,5,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-33472:C.J. Prosise,65214-33472,RB,C.J.,C.J. Prosise,Prosise,2.03999996185303,5,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-86472:John Hightower,65214-86472,WR,John,John Hightower,Hightower,2.37999992370605,10,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-69451:Jack Stoll,65214-69451,TE,Jack,Jack Stoll,Stoll,0,1,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-30800:Jason Croom,65214-30800,TE,Jason,Jason Croom,Croom,6.80000019073486,1,5000,TB@PHI,PHI,TB,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-130265:John Hurst,65214-130265,WR,John,John Hurst,Hurst,,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-21980:Alshon Jeffery,65214-21980,WR,Alshon,Alshon Jeffery,Jeffery,2.5625,8,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
