,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,68376-40199,PF/SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,52.3,23.0,11000,MIL@HOU,MIL,HOU,GTD,Quadriceps,,,,SF/PF
1,68376-9646,SF/PF,Kevin,Kevin Durant,Durant,47.6,23.0,10600,BKN@ATL,BKN,ATL,,,,,,SF/PF
2,68376-9644,SG/PG,James,James Harden,Harden,46.8,25.0,10400,BKN@ATL,BKN,ATL,,,,,,PG/SG
3,68376-9488,SF/PF,LeBron,LeBron James,James,47.1,14.0,10200,LAL@OKC,LAL,OKC,GTD,Abdomen,,,,SF/PF
4,68376-15755,PF/C,Anthony,Anthony Davis,Davis,45.0,25.0,10000,LAL@OKC,LAL,OKC,GTD,Knee,,,,PF/C
5,68376-84669,PG/SG,Luka,Luka Doncic,Doncic,49.9,20.0,9900,DAL@IND,DAL,IND,,,,,,PG/SG
6,68376-84671,PG,Trae,Trae Young,Young,46.3,25.0,9800,BKN@ATL,ATL,BKN,,,,,,PG
7,68376-80808,SF/PF,Jayson,Jayson Tatum,Tatum,43.9,26.0,9700,BOS@PHO,BOS,PHO,,,,,,SF/PF
9,68376-9642,PG,Russell,Russell Westbrook,Westbrook,40.5,26.0,9600,LAL@OKC,LAL,OKC,,,,,,PG
10,68376-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,43.3,24.0,9500,CLE@MIN,MIN,CLE,,,,,,C
12,68376-59358,PF/C,Domantas,Domantas Sabonis,Sabonis,42.7,27.0,8800,DAL@IND,IND,DAL,,,,,,PF/C
13,68376-42669,PF/C,Julius,Julius Randle,Randle,41.8,25.0,8700,NY@TOR,NY,TOR,,,,,,PF/C
14,68376-84680,SG/PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,39.9,21.0,8700,LAL@OKC,OKC,LAL,,,,,,PG/SG
15,68376-80821,C/PF,Jarrett,Jarrett Allen,Allen,38.2,23.0,8600,CLE@MIN,CLE,MIN,,,,,,PF/C
16,68376-63122,PF/C,Kristaps,Kristaps Porzingis,Porzingis,37.5,17.0,8500,DAL@IND,DAL,IND,,,,,,PF/C
17,68376-84678,SF,Miles,Miles Bridges,Bridges,44.4,27.0,8400,SAC@CHA,CHA,SAC,,,,,,SF
