,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,binned
596,75598-68582,2B/SS,Brendan,Brendan Rodgers,Rodgers,4.518750190734863,16.0,2600,WSH@COL,COL,WSH,,,,,7.0,2B/SS/UTIL,
597,75598-83155,OF,Ramon,Ramon Laureano,Laureano,10.307954268022018,88.0,2600,TB@OAK,OAK,TB,,Suspension,,,,OF/UTIL,
598,75598-38112,3B/SS,Gio,Gio Urshela,Urshela,5.909523736862909,21.0,2600,MIN@BAL,MIN,BAL,,,,,4.0,3B/SS/UTIL,
600,75598-79165,2B/SS,Gavin,Gavin Lux,Lux,7.826315628854852,19.0,2600,SF@LAD,LAD,SF,,,,,,2B/SS/UTIL,
601,75598-79230,OF,Bryan,Bryan Reynolds,Reynolds,7.530000305175781,20.0,2600,PIT@DET,PIT,DET,O,Postponed,,,,OF/UTIL,
602,75598-38282,1B,Daniel,Daniel Vogelbach,Vogelbach,9.5,18.0,2600,PIT@DET,PIT,DET,O,Postponed,,,,C/1B/UTIL,
603,75598-79257,OF,Josh,Josh Lowe,Lowe,7.3578948974609375,19.0,2600,TB@OAK,TB,OAK,,,,,,OF/UTIL,
604,75598-13854,OF,Robbie,Robbie Grossman,Grossman,7.883332994249132,18.0,2600,PIT@DET,DET,PIT,O,Postponed,,,,OF/UTIL,
605,75598-13894,OF,Aaron,Aaron Hicks,Hicks,7.294737163342927,19.0,2600,NYY@TOR,NYY,TOR,,,,,1.0,OF/UTIL,
606,75598-6029,1B/2B,Jed,Jed Lowrie,Lowrie,7.090909090909091,11.0,2600,TB@OAK,OAK,TB,,,,,,C/1B/2B/UTIL,
608,75598-38872,OF,Jesse,Jesse Winker,Winker,7.026087221891983,23.0,2600,SEA@HOU,SEA,HOU,,,,,3.0,OF/UTIL,
609,75598-102412,3B,Elehuris,Elehuris Montero,Montero,6.0,1.0,2500,WSH@COL,COL,WSH,,,,,0.0,3B/UTIL,
610,75598-12310,1B,Carlos,Carlos Santana,Santana,6.509999847412109,20.0,2500,STL@KC,KC,STL,,,,,4.0,C/1B/UTIL,
611,75598-135284,C,Riley,Riley Adams,Adams,4.275000095367432,8.0,2500,WSH@COL,WSH,COL,,,,,,C/1B/UTIL,
612,75598-135288,SS,Alan,Alan Trejo,Trejo,8.219999694824219,10.0,2500,WSH@COL,COL,WSH,,,,,0.0,SS/UTIL,
613,75598-12434,OF,Lorenzo,Lorenzo Cain,Cain,5.393333435058594,15.0,2500,CIN@MIL,MIL,CIN,,,,,8.0,OF/UTIL,
614,75598-82563,2B/OF,Garrett,Garrett Hampson,Hampson,7.133333206176758,3.0,2500,WSH@COL,COL,WSH,IL,Hand,,,0.0,2B/OF/UTIL,
615,75598-12935,2B,Dee,Dee Strange-Gordon,Strange-Gordon,0.6400000095367432,5.0,2500,WSH@COL,WSH,COL,IL,Illness,,,,2B/UTIL,
616,75598-82571,3B,Colton,Colton Welker,Welker,3.284210606625205,19.0,2500,WSH@COL,COL,WSH,,,,,0.0,3B/UTIL,
617,75598-82659,3B,Carter,Carter Kieboom,Kieboom,7.331147741098873,61.0,2500,WSH@COL,WSH,COL,IL,Elbow,,,,3B/UTIL,
618,75598-68478,2B/OF,Chad,Chad Pinder,Pinder,9.8499995640346,14.0,2500,TB@OAK,OAK,TB,,,,,,2B/OF/UTIL,
619,75598-52164,2B/SS,Adalberto,Adalberto Mondesi,Mondesi,5.53999989827474,15.0,2500,STL@KC,KC,STL,IL,Knee,,,0.0,2B/SS/UTIL,
620,75598-68588,SS/2B,Gleyber,Gleyber Torres,Torres,7.466666811988468,21.0,2500,NYY@TOR,NYY,TOR,,,,,6.0,2B/SS/UTIL,
621,75598-5181,C,Yadier,Yadier Molina,Molina,3.242857251848493,14.0,2500,STL@KC,STL,KC,,,,,7.0,C/1B/UTIL,
623,75598-21637,OF,Jackie,Jackie Bradley Jr.,Bradley Jr.,4.513636502352628,22.0,2500,LAA@BOS,BOS,LAA,,,,,9.0,OF/UTIL,
624,75598-13535,2B/SS/3B,Ehire,Ehire Adrianza,Adrianza,4.181512656332064,119.0,2500,WSH@COL,WSH,COL,IL,Quadriceps,,,,2B/3B/SS/UTIL,
625,75598-79087,1B/2B,Michael,Michael Chavis,Chavis,8.911110772026909,18.0,2500,PIT@DET,PIT,DET,O,Postponed,,,,C/1B/2B/UTIL,
626,75598-79108,2B/OF,Nick,Nick Senzel,Senzel,4.831250190734863,16.0,2500,CIN@MIL,CIN,MIL,,,,,6.0,2B/OF/UTIL,
627,75598-79225,3B/2B/SS,Luis,Luis Urias,Urias,9.45099321580091,151.0,2500,CIN@MIL,MIL,CIN,,,,,9.0,2B/3B/SS/UTIL,
628,75598-79240,C,Aramis,Aramis Garcia,Garcia,4.341666539510091,12.0,2500,CIN@MIL,CIN,MIL,,,,,0.0,C/1B/UTIL,
629,75598-79260,SS,Lucius,Lucius Fox,Fox,2.839999961853027,10.0,2500,WSH@COL,WSH,COL,,,,,,SS/UTIL,
630,75598-101811,OF,Sam,Sam Hilliard,Hilliard,5.078571319580078,14.0,2500,WSH@COL,COL,WSH,,,,,8.0,OF/UTIL,
631,75598-101827,3B/2B,Luis,Luis Arraez,Arraez,6.486363497647372,22.0,2500,MIN@BAL,MIN,BAL,,,,,0.0,2B/3B/UTIL,
632,75598-5607,3B,Evan,Evan Longoria,Longoria,9.417442144349565,86.0,2500,SF@LAD,SF,LAD,IL,Finger,,,,3B/UTIL,
633,75598-116339,3B/2B,Abraham,Abraham Toro,Toro,6.379999923706055,20.0,2500,SEA@HOU,SEA,HOU,,,,,7.0,2B/3B/UTIL,
634,75598-163510,SS/3B,Diego,Diego Castillo,Castillo,6.04117629107307,17.0,2500,PIT@DET,PIT,DET,O,Postponed,,,,3B/SS/UTIL,
635,75598-163650,OF,Donovan,Donovan Casey,Casey,,,2500,WSH@COL,WSH,COL,,,,,,OF/UTIL,
636,75598-79776,C,Dom,Dom Nunez,Nunez,4.612500190734863,8.0,2500,WSH@COL,COL,WSH,,,,,0.0,C/1B/UTIL,
637,75598-104511,OF,Kyle,Kyle Garlick,Garlick,7.476922842172476,13.0,2400,MIN@BAL,MIN,BAL,IL,Calf,,,0.0,OF/UTIL,
638,75598-104629,SS,Jack,Jack Mayfield,Mayfield,7.516666412353516,12.0,2400,LAA@BOS,LAA,BOS,,,,,6.0,SS/UTIL,
639,75598-145590,3B,Jason,Jason Vosler,Vosler,10.055555555555555,9.0,2400,SF@LAD,SF,LAD,,,,,,3B/UTIL,
640,75598-80485,OF,Austin,Austin Slater,Slater,7.33888922797309,18.0,2400,SF@LAD,SF,LAD,DTD,Knee,,,,OF/UTIL,
641,75598-82580,OF,Jo,Jo Adell,Adell,7.226315950092516,19.0,2400,LAA@BOS,LAA,BOS,,,,,0.0,OF/UTIL,
