Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
67822-9646,SF/PF,Kevin,Kevin Durant,Durant,46.8421052631579,19,11000,NY@BKN,BKN,NY,,,,,,SF/PF
67822-9524,PG,Stephen,Stephen Curry,Curry,49.6842105263158,19,10800,GS@PHO,GS,PHO,,,,,,PG
67822-9488,SF/PF,LeBron,LeBron James,James,46.1727267178622,11,10600,LAL@SAC,LAL,SAC,GTD,Abdomen,,,,SF/PF
67822-15755,PF/C,Anthony,Anthony Davis,Davis,49.5047607421875,21,10300,LAL@SAC,LAL,SAC,GTD,Head,,,,PF/C
67822-9644,SG/PG,James,James Harden,Harden,45.4200012207031,20,10000,NY@BKN,BKN,NY,,,,,,PG/SG
67822-9642,PG,Russell,Russell Westbrook,Westbrook,43.5590903542259,22,9600,LAL@SAC,LAL,SAC,,,,,,PG
67822-110344,PG,Ja,Ja Morant,Morant,43.3526322214227,19,9000,MEM@TOR,MEM,TOR,O,Knee,,,,PG
67822-14498,PG/SG,Kyrie,Kyrie Irving,Irving,44.5515632629395,64,8900,NY@BKN,BKN,NY,O,Not injury related,,,,PG/SG
67822-20848,PG,Damian,Damian Lillard,Lillard,38.4399993896484,20,8600,DET@POR,POR,DET,O,Rest,,,,PG
67822-42669,PF/C,Julius,Julius Randle,Randle,39.6799987792969,20,8500,NY@BKN,NY,BKN,,,,,,PF/C
67822-24247,PG,Fred,Fred VanVleet,VanVleet,39.6,20,8400,MEM@TOR,TOR,MEM,,,,,,PG
67822-23831,PF,Jerami,Jerami Grant,Grant,33.6947374845806,19,8100,DET@POR,DET,POR,,,,,,PF
67822-9623,PG,Chris,Chris Paul,Paul,39.0200012207031,20,8000,GS@PHO,PHO,GS,,,,,,PG
67822-58460,SG,Devin,Devin Booker,Booker,37.7350006103516,20,7900,GS@PHO,PHO,GS,,,,,,SG
67822-84673,C,Deandre,Deandre Ayton,Ayton,33.6214294433594,14,7800,GS@PHO,PHO,GS,,,,,,C
67822-68090,SF/PF,OG,OG Anunoby,Anunoby,35.4466674804687,15,7700,MEM@TOR,TOR,MEM,O,Hip,,,,SF/PF
67822-80810,PG,De'Aaron,De'Aaron Fox,Fox,34.9571416945684,21,7600,LAL@SAC,SAC,LAL,,,,,,PG
67822-60021,PF,Pascal,Pascal Siakam,Siakam,34.3399993896484,10,7500,MEM@TOR,TOR,MEM,,,,,,PF
67822-15946,SF/PF,Harrison,Harrison Barnes,Barnes,32.6421059056332,19,7300,LAL@SAC,SAC,LAL,GTD,Foot,,,,SF/PF
67822-19067,SG,CJ,CJ McCollum,McCollum,35.1666666666667,21,7200,DET@POR,POR,DET,,,,,,SG
67822-15860,PF/C,Draymond,Draymond Green,Green,32.2947355571546,19,7100,GS@PHO,GS,PHO,,,,,,PF/C
67822-157808,PG/SG,Cade,Cade Cunningham,Cunningham,29.7733337402344,15,6900,DET@POR,DET,POR,,,,,,PG/SG
67822-55057,C,Jusuf,Jusuf Nurkic,Nurkic,32.3952375139509,21,6700,DET@POR,POR,DET,,,,,,C
67822-157822,SF/PF,Scottie,Scottie Barnes,Barnes,33.0473697060033,19,6700,MEM@TOR,TOR,MEM,,,,,,SF/PF
67822-23447,C/PF,Richaun,Richaun Holmes,Holmes,30.3833346896701,18,6700,LAL@SAC,SAC,LAL,,,,,,PF/C
67822-84683,PF/C,Jaren,Jaren Jackson,Jackson,30.1649993896484,20,6500,MEM@TOR,MEM,TOR,,,,,,PF/C
67822-49116,SF,Andrew,Andrew Wiggins,Wiggins,29.3100006103516,20,6400,GS@PHO,GS,PHO,GTD,Back,,,,SF
67822-145337,PG/SG,Tyrese,Tyrese Haliburton,Haliburton,30.1263170744243,19,6300,LAL@SAC,SAC,LAL,,,,,,PG/SG
67822-14510,SG/SF,Alec,Alec Burks,Burks,21.1600006103516,20,6200,NY@BKN,NY,BKN,,,,,,SG/SF
67822-9688,C/PF,LaMarcus,LaMarcus Aldridge,Aldridge,25.8210529528166,19,6100,NY@BKN,BKN,NY,,,,,,PF/C
67822-110322,PG/SG,Jordan,Jordan Poole,Poole,28.0850006103516,20,6000,GS@PHO,GS,PHO,,,,,,PG/SG
67822-84670,SF/PF,Mikal,Mikal Bridges,Bridges,25.5649993896484,20,5900,GS@PHO,PHO,GS,,,,,,SF/PF
67822-84695,SG/SF,Gary,Gary Trent,Trent,29.6850006103516,20,5900,MEM@TOR,TOR,MEM,O,Calf,,,,SG/SF
67822-110357,SF/SG,RJ,RJ Barrett,Barrett,25.55,20,5800,NY@BKN,NY,BKN,GTD,Illness,,,,SG/SF
67822-60233,SG/SF,Dillon,Dillon Brooks,Brooks,28.1428571428571,7,5800,MEM@TOR,MEM,TOR,,,,,,SG/SF
67822-23665,SG/SF,Buddy,Buddy Hield,Hield,26.9571416945685,21,5800,LAL@SAC,SAC,LAL,,,,,,SG/SF
