CPT,FLEX,FLEX,FLEX,FLEX,FLEX,Budget,FPPG
Mike Williams(19490423),Daniel Carlson(19490490),Derek Carr(19490472),Henry Ruggs III(19490479),Hunter Renfrow(19490485),Josh Jacobs(19490477),49700.0,126.725
Derek Carr(19490422),Daniel Carlson(19490490),Henry Ruggs III(19490479),Hunter Renfrow(19490485),Josh Jacobs(19490477),Mike Williams(19490473),50000.0,126.715
Daniel Carlson(19490440),Derek Carr(19490472),Henry Ruggs III(19490479),Josh Jacobs(19490477),Keenan Allen(19490476),Mike Williams(19490473),49500.0,125.615
Mike Williams(19490423),Daniel Carlson(19490490),Derek Carr(19490472),Hunter Renfrow(19490485),Keenan Allen(19490476),Kenyan Drake(19490486),49900.0,124.855
Derek Carr(19490422),Alec Ingold(19490495),Justin Herbert(19490471),Keenan Allen(19490476),Mike Williams(19490473),Zay Jones(19490494),49800.0,119.085
