,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,67370-55062,C,Nikola,Nikola Jokic,Jokic,52.9,14.0,11300,DEN@PHO,DEN,PHO,GTD,Wrist,,,,C
1,67370-9524,PG,Stephen,Stephen Curry,Curry,46.2,15.0,10800,TOR@GS,GS,TOR,,,,,,PG
2,67370-15755,PF/C,Anthony,Anthony Davis,Davis,40.0,17.0,10300,LAL@DET,LAL,DET,,,,,,PF/C
3,67370-9488,SF/PF,LeBron,LeBron James,James,35.7,7.0,10000,LAL@DET,LAL,DET,GTD,Abdomen,,,,SF/PF
4,67370-9642,PG,Russell,Russell Westbrook,Westbrook,42.9,17.0,9500,LAL@DET,LAL,DET,,,,,,PG
5,67370-9623,PG,Chris,Chris Paul,Paul,39.5,15.0,8900,DEN@PHO,PHO,DEN,,,,,,PG
6,67370-9714,SG/SF,DeMar,DeMar DeRozan,DeRozan,36.8,16.0,8500,NY@CHI,CHI,NY,,,,,,SG/SF
7,67370-42669,PF/C,Julius,Julius Randle,Randle,38.5,16.0,8400,NY@CHI,NY,CHI,,,,,,PF/C
8,67370-24247,PG,Fred,Fred VanVleet,VanVleet,38.3,16.0,8400,TOR@GS,TOR,GS,,,,,,PG
9,67370-58460,SG,Devin,Devin Booker,Booker,37.0,15.0,8100,DEN@PHO,PHO,DEN,,,,,,SG
10,67370-60021,PF,Pascal,Pascal Siakam,Siakam,39.1,6.0,8100,TOR@GS,TOR,GS,,,,,,PF
11,67370-40783,SG/PG,Zach,Zach LaVine,LaVine,37.8,16.0,7900,NY@CHI,CHI,NY,,,,,,PG/SG
12,67370-84673,C,Deandre,Deandre Ayton,Ayton,33.1,9.0,7800,DEN@PHO,PHO,DEN,,,,,,C
13,67370-68090,SF/PF,OG,OG Anunoby,Anunoby,30.9,15.0,7700,TOR@GS,TOR,GS,GTD,Hip,,,,SF/PF
15,67370-23831,PF,Jerami,Jerami Grant,Grant,34.2,14.0,7300,LAL@DET,DET,LAL,,,,,,PF
16,67370-157808,PG/SG,Cade,Cade Cunningham,Cunningham,30.3,10.0,7000,LAL@DET,DET,LAL,,,,,,PG/SG
17,67370-84695,SG/SF,Gary,Gary Trent,Trent,26.6,17.0,7000,TOR@GS,TOR,GS,,,,,,SG/SF
18,67370-15860,PF/C,Draymond,Draymond Green,Green,33.1,15.0,6900,TOR@GS,GS,TOR,,,,,,PF/C
19,67370-80806,PG,Lonzo,Lonzo Ball,Ball,34.0,16.0,6800,NY@CHI,CHI,NY,,,,,,PG
20,67370-17333,SG/SF,Will,Will Barton,Barton,26.5,14.0,6500,DEN@PHO,DEN,PHO,,,,,,SG/SF
21,67370-49116,SF,Andrew,Andrew Wiggins,Wiggins,29.5,16.0,6400,TOR@GS,GS,TOR,,,,,,SF
22,67370-157822,SF/PF,Scottie,Scottie Barnes,Barnes,29.8,15.0,6300,TOR@GS,TOR,GS,,,,,,SF/PF
23,67370-110337,SG/SF,Talen,Talen Horton-Tucker,Horton-Tucker,24.8,4.0,6000,LAL@DET,LAL,DET,,,,,,SG/SF
24,67370-41594,PF,Aaron,Aaron Gordon,Gordon,30.6,16.0,6000,DEN@PHO,DEN,PHO,,,,,,PF
27,67370-145328,SF,Saddiq,Saddiq Bey,Bey,27.9,15.0,5700,LAL@DET,DET,LAL,,,,,,SF
29,67370-110322,PG/SG,Jordan,Jordan Poole,Poole,26.6,16.0,5600,TOR@GS,GS,TOR,,,,,,PG/SG
30,67370-110357,SF/SG,RJ,RJ Barrett,Barrett,24.3,16.0,5500,NY@CHI,NY,CHI,,,,,,SG/SF
31,67370-23981,PG/SG,Alex,Alex Caruso,Caruso,24.6,16.0,5500,NY@CHI,CHI,NY,,,,,,PG/SG
32,67370-9508,SF/PF,Carmelo,Carmelo Anthony,Anthony,22.1,17.0,5200,LAL@DET,LAL,DET,,,,,,SF/PF
33,67370-9475,PG/SG,Derrick,Derrick Rose,Rose,19.9,16.0,5100,NY@CHI,NY,CHI,,,,,,PG/SG
34,67370-84670,SF/PF,Mikal,Mikal Bridges,Bridges,27.0,15.0,5100,DEN@PHO,PHO,DEN,,,,,,SF/PF
35,67370-40396,PG,Monte,Monte Morris,Morris,24.8,16.0,5100,DEN@PHO,DEN,PHO,,,,,,PG
36,67370-84709,C,Mitchell,Mitchell Robinson,Robinson,21.1,15.0,5100,NY@CHI,NY,CHI,GTD,Nose,,,,C
37,67370-145307,PF,Isaiah,Isaiah Stewart,Stewart,29.5,15.0,5000,LAL@DET,DET,LAL,GTD,Ankle,,,,PF
39,67370-15800,PF/SF,Jae,Jae Crowder,Crowder,22.6,15.0,5000,DEN@PHO,PHO,DEN,,,,,,SF/PF
40,67370-68203,C/PF,Chris,Chris Boucher,Boucher,16.4,16.0,4900,TOR@GS,TOR,GS,,,,,,PF/C
42,67370-14507,PG,Kemba,Kemba Walker,Walker,26.5,15.0,4800,NY@CHI,NY,CHI,,,,,,PG
43,67370-9739,C,JaVale,JaVale McGee,McGee,18.8,15.0,4700,DEN@PHO,PHO,DEN,,,,,,C
44,67370-145489,PG,Killian,Killian Hayes,Hayes,20.4,14.0,4700,LAL@DET,DET,LAL,GTD,Thumb,,,,PG
46,67370-16081,C/PF,Khem,Khem Birch,Birch,20.0,14.0,4700,TOR@GS,TOR,GS,,,,,,PF/C
47,67370-23825,C,Nerlens,Nerlens Noel,Noel,19.8,5.0,4500,NY@CHI,NY,CHI,,,,,,C
48,67370-23096,SF/SG,Evan,Evan Fournier,Fournier,22.6,16.0,4500,NY@CHI,NY,CHI,,,,,,SG/SF
49,67370-14510,SG/SF,Alec,Alec Burks,Burks,23.5,16.0,4500,NY@CHI,NY,CHI,,,,,,SG/SF
51,67370-110326,PG/SG,Coby,Coby White,White,15.5,3.0,4500,NY@CHI,CHI,NY,,,,,,PG/SG
53,67370-9648,PF/SF,Jeff,Jeff Green,Green,23.9,16.0,4400,DEN@PHO,DEN,PHO,,,,,,SF/PF
57,67370-80823,PF/C,Tony,Tony Bradley,Bradley,23.6,13.0,4300,NY@CHI,CHI,NY,,,,,,PF/C
60,67370-12368,PF,Nemanja,Nemanja Bjelica,Bjelica,16.3,16.0,4200,TOR@GS,GS,TOR,GTD,Ribs,,,,PF
66,67370-145348,SG/PG,Immanuel,Immanuel Quickley,Quickley,15.8,16.0,4100,NY@CHI,NY,CHI,,,,,,PG/SG
68,67370-15628,SF/PF,Otto,Otto Porter,Porter,17.7,14.0,4000,TOR@GS,GS,TOR,GTD,Foot,,,,SF/PF
73,67370-48567,PG/SG,Cameron,Cameron Payne,Payne,15.8,10.0,3900,DEN@PHO,PHO,DEN,,,,,,PG/SG
76,67370-110316,SF,Cameron,Cameron Johnson,Johnson,17.2,15.0,3900,DEN@PHO,PHO,DEN,,,,,,SF
84,67370-14529,PG,Cory,Cory Joseph,Joseph,17.7,15.0,3800,LAL@DET,DET,LAL,,,,,,PG
