,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
708,75739-68531,3B,Brian,Brian Anderson,Anderson,8.280000305175781,20.0,2600,MIA@SD,MIA,SD,,,,,,3B/UTIL
709,75739-54401,OF,Manuel,Manuel Margot,Margot,8.638094947451638,21.0,2600,TB@SEA,TB,SEA,,,,,,OF/UTIL
710,75739-83155,OF,Ramon,Ramon Laureano,Laureano,10.307954268022018,88.0,2600,OAK@MIN,OAK,MIN,,Suspension,,,0.0,OF/UTIL
711,75739-38117,OF,Adam,Adam Duvall,Duvall,6.896153963529146,26.0,2600,MIL@ATL,ATL,MIL,,,,,7.0,OF/UTIL
712,75739-109803,C,Austin,Austin Nola,Nola,7.604761759440104,21.0,2600,MIA@SD,SD,MIA,,,,,,C/1B/UTIL
714,75739-79225,3B/2B/SS,Luis,Luis Urias,Urias,17.599999745686848,3.0,2600,MIL@ATL,MIL,ATL,,,,,6.0,2B/3B/SS/UTIL
715,75739-38319,OF,Odubel,Odubel Herrera,Herrera,9.118182095614346,11.0,2600,NYM@PHI,PHI,NYM,O,Postponed,,,,OF/UTIL
716,75739-13854,OF,Robbie,Robbie Grossman,Grossman,7.804761614118304,21.0,2600,DET@HOU,DET,HOU,,,,,1.0,OF/UTIL
717,75739-13894,OF,Aaron,Aaron Hicks,Hicks,7.785714285714286,21.0,2600,TEX@NYY,NYY,TEX,O,Postponed,,,,OF/UTIL
719,75739-6029,1B/2B,Jed,Jed Lowrie,Lowrie,6.707692072941707,13.0,2600,OAK@MIN,OAK,MIN,,,,,2.0,C/1B/2B/UTIL
720,75739-38872,OF,Jesse,Jesse Winker,Winker,7.0500001173753,26.0,2600,TB@SEA,SEA,TB,,,,,,OF/UTIL
722,75739-73832,3B/SS,Joey,Joey Wendle,Wendle,9.463158055355674,19.0,2500,MIA@SD,MIA,SD,,,,,,3B/SS/UTIL
723,75739-135284,C,Riley,Riley Adams,Adams,4.488889058430989,9.0,2500,WSH@LAA,WSH,LAA,,,,,,C/1B/UTIL
724,75739-12434,OF,Lorenzo,Lorenzo Cain,Cain,6.205882352941177,17.0,2500,MIL@ATL,MIL,ATL,,,,,9.0,OF/UTIL
