,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,66486-40199,PF/SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,54.6,8.0,11300,NY@MIL,MIL,NY,,,,,,SF/PF
1,66486-12341,SG/SF,Paul,Paul George,George,48.7,7.0,10800,LAC@MIN,LAC,MIN,,,,,,SG/SF
2,66486-9646,SF/PF,Kevin,Kevin Durant,Durant,46.2,8.0,10500,BKN@DET,BKN,DET,,,,,,SF/PF
3,66486-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,49.3,7.0,10200,LAC@MIN,MIN,LAC,,,,,,C
4,66486-9644,SG/PG,James,James Harden,Harden,44.7,8.0,10000,BKN@DET,BKN,DET,,,,,,PG/SG
5,66486-9524,PG,Stephen,Stephen Curry,Curry,47.3,7.0,9800,NO@GS,GS,NO,,,,,,PG
6,66486-110344,PG,Ja,Ja Morant,Morant,42.8,8.0,9500,MEM@WAS,MEM,WAS,,,,,,PG
7,66486-59358,PF/C,Domantas,Domantas Sabonis,Sabonis,41.2,9.0,9400,IND@POR,IND,POR,,,,,,PF/C
8,66486-42669,PF/C,Julius,Julius Randle,Randle,44.8,8.0,9300,NY@MIL,NY,MIL,,,,,,PF/C
9,66486-67708,PG/SG,Dejounte,Dejounte Murray,Murray,38.8,8.0,9100,SA@ORL,SA,ORL,,,,,,PG/SG
10,66486-15595,SG/PG,Bradley,Bradley Beal,Beal,40.8,7.0,8900,MEM@WAS,WAS,MEM,,,,,,PG/SG
12,66486-145485,PG,LaMelo,LaMelo Ball,Ball,40.7,9.0,8600,CHA@SAC,CHA,SAC,GTD,Hip,,,,PG
13,66486-14503,C,Jonas,Jonas Valanciunas,Valanciunas,41.0,9.0,8600,NO@GS,NO,GS,,,,,,C
15,66486-20848,PG,Damian,Damian Lillard,Lillard,42.2,8.0,8500,IND@POR,POR,IND,,,,,,PG
16,66486-84678,SF,Miles,Miles Bridges,Bridges,36.6,9.0,8400,CHA@SAC,CHA,SAC,,,,,,SF
18,66486-66048,SF,Brandon,Brandon Ingram,Ingram,35.3,6.0,8200,NO@GS,NO,GS,GTD,Hip,,,,SF
19,66486-24247,SG/PG,Fred,Fred VanVleet,VanVleet,36.8,9.0,8200,CLE@TOR,TOR,CLE,,,,,,PG/SG
21,66486-145321,SF/SG,Anthony,Anthony Edwards,Edwards,37.7,7.0,8000,LAC@MIN,MIN,LAC,,,,,,SG/SF
22,66486-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,37.2,6.0,8000,IND@POR,IND,POR,GTD,Illness,,,,PG/SG
24,66486-15946,SF/PF,Harrison,Harrison Barnes,Barnes,34.2,8.0,7700,CHA@SAC,SAC,CHA,,,,,,SF/PF
25,66486-23776,C/PF,Montrezl,Montrezl Harrell,Harrell,30.2,8.0,7700,MEM@WAS,WAS,MEM,,,,,,PF/C
26,66486-68090,SG/SF,OG,OG Anunoby,Anunoby,34.9,9.0,7700,CLE@TOR,TOR,CLE,,,,,,SG/SF
27,66486-80810,PG,De'Aaron,De'Aaron Fox,Fox,40.4,8.0,7500,CHA@SAC,SAC,CHA,,,,,,PG
28,66486-80821,C/PF,Jarrett,Jarrett Allen,Allen,35.0,9.0,7500,CLE@TOR,CLE,TOR,,,,,,PF/C
30,66486-15860,PF/C,Draymond,Draymond Green,Green,33.6,7.0,7400,NO@GS,GS,NO,,,,,,PF/C
31,66486-9663,PG/SG,Jrue,Jrue Holiday,Holiday,35.2,2.0,7300,NY@MIL,MIL,NY,GTD,Ankle,,,,PG/SG
32,66486-55057,C,Jusuf,Jusuf Nurkic,Nurkic,35.3,8.0,7200,IND@POR,POR,IND,,,,,,C
34,66486-23831,PF,Jerami,Jerami Grant,Grant,33.4,7.0,7100,BKN@DET,DET,BKN,,,,,,PF
35,66486-145327,PG/SG,Cole,Cole Anthony,Anthony,33.3,9.0,7100,SA@ORL,ORL,SA,,,,,,PG/SG
36,66486-23798,SG/SF,Caris,Caris LeVert,LeVert,34.0,3.0,7000,IND@POR,IND,POR,,,,,,SG/SF
37,66486-58253,C/PF,Myles,Myles Turner,Turner,33.0,9.0,7000,IND@POR,IND,POR,,,,,,PF/C
38,66486-23447,C/PF,Richaun,Richaun Holmes,Holmes,35.1,8.0,7000,CHA@SAC,SAC,CHA,,,,,,PF/C
39,66486-145337,PG/SG,Tyrese,Tyrese Haliburton,Haliburton,30.5,8.0,7000,CHA@SAC,SAC,CHA,,,,,,PG/SG
40,66486-58377,SF/PF,Kyle,Kyle Kuzma,Kuzma,30.5,8.0,6900,MEM@WAS,WAS,MEM,,,,,,SF/PF
