,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,67993-9646,SF/PF,Kevin,Kevin Durant,Durant,47.9,20.0,11000,MIN@BKN,BKN,MIN,,,,,,SF/PF
1,67993-9524,PG,Stephen,Stephen Curry,Curry,46.2,20.0,10800,PHO@GS,GS,PHO,,,,,,PG
2,67993-84669,PG/SG,Luka,Luka Doncic,Doncic,52.8,17.0,10500,NO@DAL,DAL,NO,,,,,,PG/SG
3,67993-15755,PF/C,Anthony,Anthony Davis,Davis,41.6,22.0,10500,LAC@LAL,LAL,LAC,GTD,Thumb,,,,PF/C
4,67993-9644,SG/PG,James,James Harden,Harden,48.4,21.0,10400,MIN@BKN,BKN,MIN,,,,,,PG/SG
5,67993-49111,C,Joel,Joel Embiid,Embiid,45.8,12.0,10200,PHI@ATL,PHI,ATL,,,,,,C
6,67993-9488,SF/PF,LeBron,LeBron James,James,42.3,11.0,10000,LAC@LAL,LAL,LAC,GTD,Abdomen,,,,SF/PF
7,67993-9642,PG,Russell,Russell Westbrook,Westbrook,42.6,23.0,9900,LAC@LAL,LAL,LAC,,,,,,PG
8,67993-84671,PG,Trae,Trae Young,Young,47.0,22.0,9700,PHI@ATL,ATL,PHI,,,,,,PG
9,67993-80808,SF/PF,Jayson,Jayson Tatum,Tatum,42.6,22.0,9500,BOS@UTA,BOS,UTA,,,,,,SF/PF
10,67993-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,43.2,22.0,9300,MIN@BKN,MIN,BKN,GTD,Back,,,,C
11,67993-12341,SG/SF,Paul,Paul George,George,42.4,21.0,9200,LAC@LAL,LAC,LAL,,,,,,SG/SF
13,67993-40203,C,Rudy,Rudy Gobert,Gobert,38.5,21.0,8900,BOS@UTA,UTA,BOS,,,,,,C
15,67993-15595,SG,Bradley,Bradley Beal,Beal,41.1,19.0,8700,CLE@WAS,WAS,CLE,,,,,,SG
16,67993-9623,PG,Chris,Chris Paul,Paul,40.2,22.0,8700,PHO@GS,PHO,GS,,,,,,PG
17,67993-42202,PF/C,Christian,Christian Wood,Wood,38.5,21.0,8600,ORL@HOU,HOU,ORL,GTD,Ankle,,,,PF/C
19,67993-59358,PF/C,Domantas,Domantas Sabonis,Sabonis,39.5,24.0,8500,MIA@IND,IND,MIA,,,,,,PF/C
20,67993-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,39.1,20.0,8400,BOS@UTA,UTA,BOS,,,,,,PG/SG
22,67993-55059,C,Clint,Clint Capela,Capela,33.5,22.0,8400,PHI@ATL,ATL,PHI,,,,,,C
23,67993-145327,PG/SG,Cole,Cole Anthony,Anthony,36.9,17.0,8300,ORL@HOU,ORL,HOU,,,,,,PG/SG
24,67993-14503,C,Jonas,Jonas Valanciunas,Valanciunas,39.0,24.0,8200,NO@DAL,NO,DAL,,,,,,C
25,67993-58312,SG/PG,D'Angelo,D'Angelo Russell,Russell,36.6,20.0,8200,MIN@BKN,MIN,BKN,,,,,,PG/SG
26,67993-145321,SF/SG,Anthony,Anthony Edwards,Edwards,36.4,22.0,8100,MIN@BKN,MIN,BKN,GTD,Illness,,,,SG/SF
27,67993-80821,C/PF,Jarrett,Jarrett Allen,Allen,36.7,19.0,8000,CLE@WAS,CLE,WAS,,,,,,PF/C
28,67993-84673,C,Deandre,Deandre Ayton,Ayton,36.7,16.0,7800,PHO@GS,PHO,GS,,,,,,C
29,67993-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,36.1,19.0,7800,MIA@IND,IND,MIA,,,,,,PG/SG
31,67993-157845,C/PF,Evan,Evan Mobley,Mobley,35.5,18.0,7700,CLE@WAS,CLE,WAS,,,,,,PF/C
32,67993-66236,PF/C,John,John Collins,Collins,33.6,22.0,7700,PHI@ATL,ATL,PHI,,,,,,PF/C
36,67993-145576,SF/PF,Jae'Sean,Jae'Sean Tate,Tate,29.6,21.0,7500,ORL@HOU,HOU,ORL,,,,,,SF/PF
37,67993-66048,SF,Brandon,Brandon Ingram,Ingram,36.1,17.0,7400,NO@DAL,NO,DAL,,,,,,SF
38,67993-84675,C,Mo,Mo Bamba,Bamba,36.2,22.0,7200,ORL@HOU,ORL,HOU,,,,,,C
40,67993-15860,PF/C,Draymond,Draymond Green,Green,32.2,20.0,7100,PHO@GS,GS,PHO,,,,,,PF/C
41,67993-110312,SG/SF,Tyler,Tyler Herro,Herro,38.3,19.0,7000,MIA@IND,MIA,IND,,,,,,SG/SF
42,67993-110345,SF/PG,Kevin,Kevin Porter,Porter,31.8,18.0,6800,ORL@HOU,HOU,ORL,GTD,Thigh,,,,PG/SF
43,67993-58253,C/PF,Myles,Myles Turner,Turner,32.3,23.0,6700,MIA@IND,IND,MIA,,,,,,PF/C
44,67993-110322,PG/SG,Jordan,Jordan Poole,Poole,27.1,21.0,6600,PHO@GS,GS,PHO,,,,,,PG/SG
45,67993-110342,SG/PG,Darius,Darius Garland,Garland,32.7,20.0,6600,CLE@WAS,CLE,WAS,,,,,,PG/SG
46,67993-84676,PF/C,Wendell,Wendell Carter,Carter,33.6,23.0,6500,ORL@HOU,ORL,HOU,,,,,,PF/C
47,67993-9535,PG,Kyle,Kyle Lowry,Lowry,36.1,20.0,6500,MIA@IND,MIA,IND,,,,,,PG
48,67993-58377,SF/PF,Kyle,Kyle Kuzma,Kuzma,28.0,22.0,6400,CLE@WAS,WAS,CLE,,,,,,SF/PF
49,67993-157851,SF/SG,Franz,Franz Wagner,Wagner,26.9,23.0,6400,ORL@HOU,ORL,HOU,,,,,,SG/SF
50,67993-23670,SG/PG,Marcus,Marcus Smart,Smart,28.0,21.0,6300,BOS@UTA,BOS,UTA,,,,,,PG/SG
51,67993-9453,PF/C,Al,Al Horford,Horford,32.1,19.0,6300,BOS@UTA,BOS,UTA,,,,,,PF/C
52,67993-145331,PG/SG,Tyrese,Tyrese Maxey,Maxey,31.1,22.0,6200,PHI@ATL,PHI,ATL,,,,,,PG/SG
54,67993-84708,PF/C,Robert,Robert Williams,Williams,29.0,15.0,6100,BOS@UTA,BOS,UTA,,,,,,PF/C
55,67993-15542,PG,Spencer,Spencer Dinwiddie,Dinwiddie,30.0,19.0,6000,CLE@WAS,WAS,CLE,,,,,,PG
56,67993-110325,C,Daniel,Daniel Gafford,Gafford,26.8,19.0,6000,CLE@WAS,WAS,CLE,,,,,,C
57,67993-80812,PF/SF,Lauri,Lauri Markkanen,Markkanen,26.2,13.0,6000,CLE@WAS,CLE,WAS,,,,,,SF/PF
58,67993-40562,SG/SF,Josh,Josh Hart,Hart,31.8,19.0,5900,NO@DAL,NO,DAL,GTD,Knee,,,,SG/SF
60,67993-14523,PG,Reggie,Reggie Jackson,Jackson,29.1,22.0,5900,LAC@LAL,LAC,LAL,,,,,,PG
61,67993-84670,SF/PF,Mikal,Mikal Bridges,Bridges,28.2,22.0,5900,PHO@GS,PHO,GS,,,,,,SF/PF
62,67993-84721,PF,Jarred,Jarred Vanderbilt,Vanderbilt,29.5,21.0,5900,MIN@BKN,MIN,BKN,GTD,Illness,,,,PF
64,67993-110337,SG/SF,Talen,Talen Horton-Tucker,Horton-Tucker,19.5,10.0,5800,LAC@LAL,LAL,LAC,,,,,,SG/SF
65,67993-49116,SF,Andrew,Andrew Wiggins,Wiggins,30.1,21.0,5800,PHO@GS,GS,PHO,,,,,,SF
67,67993-14496,PG,Ricky,Ricky Rubio,Rubio,26.8,22.0,5700,CLE@WAS,CLE,WAS,,,,,,PG
68,67993-20640,PG/SG,Jordan,Jordan Clarkson,Clarkson,23.9,21.0,5700,BOS@UTA,UTA,BOS,,,,,,PG/SG
69,67993-9688,C/PF,LaMarcus,LaMarcus Aldridge,Aldridge,29.2,20.0,5700,MIN@BKN,BKN,MIN,,,,,,PF/C
70,67993-70827,C,Ivica,Ivica Zubac,Zubac,24.2,22.0,5600,LAC@LAL,LAC,LAL,,,,,,C
71,67993-23776,C/PF,Montrezl,Montrezl Harrell,Harrell,27.1,22.0,5600,CLE@WAS,WAS,CLE,,,,,,PF/C
72,67993-9575,PG,Mike,Mike Conley,Conley,27.5,19.0,5600,BOS@UTA,UTA,BOS,,,,,,PG
73,67993-110315,SG/SF,Terance,Terance Mann,Mann,20.9,21.0,5500,LAC@LAL,LAC,LAL,,,,,,SG/SF
74,67993-40201,PG/SG,Dennis,Dennis Schroder,Schroder,30.4,21.0,5500,BOS@UTA,BOS,UTA,,,,,,PG/SG
75,67993-16301,C,Dewayne,Dewayne Dedmon,Dedmon,29.0,22.0,5500,MIA@IND,MIA,IND,,,,,,C
77,67993-15583,PG/SG,Seth,Seth Curry,Curry,23.8,20.0,5400,PHI@ATL,PHI,ATL,,,,,,PG/SG
78,67993-9874,PF/C,Kevin,Kevin Love,Love,24.5,14.0,5300,CLE@WAS,CLE,WAS,,,,,,PF/C
79,67993-15557,C,Andre,Andre Drummond,Drummond,17.8,21.0,5300,PHI@ATL,PHI,ATL,,,,,,C
80,67993-110320,SF,Matisse,Matisse Thybulle,Thybulle,21.3,15.0,5300,PHI@ATL,PHI,ATL,,,,,,SF
81,67993-15636,SG/SF,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,20.8,22.0,5300,CLE@WAS,WAS,CLE,,,,,,SG/SF
82,67993-80816,SG,Malik,Malik Monk,Monk,18.5,23.0,5300,LAC@LAL,LAL,LAC,,,,,,SG
83,67993-80825,PF,Isaiah,Isaiah Hartenstein,Hartenstein,16.4,21.0,5300,LAC@LAL,LAC,LAL,,,,,,PF
