Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
66298-40199,PF/SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,54.3714294433594,7,11300,MIL@DET,MIL,DET,,,,,,SF/PF
66298-84669,PG/SG,Luka,Luka Doncic,Doncic,44.6166687011719,6,10400,MIA@DAL,DAL,MIA,,,,,,PG/SG
66298-15755,PF/C,Anthony,Anthony Davis,Davis,49.2857142857143,7,10000,HOU@LAL,LAL,HOU,,,,,,PF/C
66298-14528,SF/SG,Jimmy,Jimmy Butler,Butler,49.1499989827474,6,10000,MIA@DAL,MIA,DAL,,,,,,SG/SF
66298-9488,SF/PF,LeBron,LeBron James,James,46.3600006103516,5,9800,HOU@LAL,LAL,HOU,GTD,Ankle,,,,SF/PF
66298-9642,PG/SG,Russell,Russell Westbrook,Westbrook,41.8142874581473,7,9200,HOU@LAL,LAL,HOU,,,,,,PG/SG
66298-14503,C,Jonas,Jonas Valanciunas,Valanciunas,45.2714276994978,7,8600,NO@PHO,NO,PHO,,,,,,C
66298-80817,C/PF,Bam,Bam Adebayo,Adebayo,41,5,8500,MIA@DAL,MIA,DAL,,,,,,PF/C
66298-110310,PF,Zion,Zion Williamson,Williamson,42.6999984248992,62,8300,NO@PHO,NO,PHO,O,Foot,,,,PF
66298-66048,SF,Brandon,Brandon Ingram,Ingram,40.0500005086263,6,8200,NO@PHO,NO,PHO,GTD,Hip,,,,SF
66298-40203,C,Rudy,Rudy Gobert,Gobert,43.2666676839193,6,8200,SAC@UTA,UTA,SAC,,,,,,C
66298-58460,SG,Devin,Devin Booker,Booker,37.0200012207031,5,8200,NO@PHO,PHO,NO,,,,,,SG
66298-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,36.6333338419596,6,8000,SAC@UTA,UTA,SAC,,,,,,PG/SG
66298-42202,PF/C,Christian,Christian Wood,Wood,38.5500005086263,6,7900,HOU@LAL,HOU,LAL,,,,,,PF/C
66298-16261,SF/SG,Khris,Khris Middleton,Middleton,35.3500010172526,6,7800,MIL@DET,MIL,DET,O,Covid-19,,,,SG/SF
66298-9623,PG,Chris,Chris Paul,Paul,38.0600006103516,5,7800,NO@PHO,PHO,NO,,,,,,PG
66298-84673,C,Deandre,Deandre Ayton,Ayton,34.3799987792969,5,7800,NO@PHO,PHO,NO,GTD,Lower leg,,,,C
66298-15946,SF/PF,Harrison,Harrison Barnes,Barnes,41.2333323160807,6,7700,SAC@UTA,SAC,UTA,,,,,,SF/PF
66298-80810,PG,De'Aaron,De'Aaron Fox,Fox,33.5,6,7700,SAC@UTA,SAC,UTA,,,,,,PG
