Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
K,Jason Myers (19546072),Jason Myers,19546072,FLEX,3400,LAR@SEA 10/07/2021 08:20PM ET,SEA,5.25
RB,Alex Collins (19546073),Alex Collins,19546073,FLEX,3200,LAR@SEA 10/07/2021 08:20PM ET,SEA,6.37
DST,Rams  (19546074),Rams ,19546074,FLEX,3000,LAR@SEA 10/07/2021 08:20PM ET,LAR,4.25
DST,Seahawks  (19546075),Seahawks ,19546075,FLEX,2800,LAR@SEA 10/07/2021 08:20PM ET,SEA,4
RB,Sony Michel (19546130),Sony Michel,19546130,CPT,2700,LAR@SEA 10/07/2021 08:20PM ET,LAR,3.95
RB,Sony Michel (19546076),Sony Michel,19546076,FLEX,1800,LAR@SEA 10/07/2021 08:20PM ET,LAR,3.95
RB,Travis Homer (19546131),Travis Homer,19546131,CPT,1500,LAR@SEA 10/07/2021 08:20PM ET,SEA,2.92
RB,Travis Homer (19546077),Travis Homer,19546077,FLEX,1000,LAR@SEA 10/07/2021 08:20PM ET,SEA,2.92
RB,DeeJay Dallas (19546132),DeeJay Dallas,19546132,CPT,900,LAR@SEA 10/07/2021 08:20PM ET,SEA,0.5
RB,DeeJay Dallas (19546078),DeeJay Dallas,19546078,FLEX,600,LAR@SEA 10/07/2021 08:20PM ET,SEA,0.5
TE,Johnny Mundt (19546133),Johnny Mundt,19546133,CPT,600,LAR@SEA 10/07/2021 08:20PM ET,LAR,0.48
TE,Johnny Mundt (19546079),Johnny Mundt,19546079,FLEX,400,LAR@SEA 10/07/2021 08:20PM ET,LAR,0.48
WR,Dee Eskridge (19546134),Dee Eskridge,19546134,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,3.8
WR,Penny Hart (19546135),Penny Hart,19546135,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0.42
RB,Jake Funk (19546136),Jake Funk,19546136,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0.15
RB,Nick Bellore (19546137),Nick Bellore,19546137,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
TE,Tyler Ott (19546138),Tyler Ott,19546138,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
WR,Phillip Dorsett II (19546139),Phillip Dorsett II,19546139,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
TE,Ryan Izzo (19546140),Ryan Izzo,19546140,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
TE,Jace Sternberger (19546141),Jace Sternberger,19546141,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
