,,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
37,37,64729-33702,QB,Ryan,Ryan Griffin,Griffin,,,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
38,38,64729-71974,RB,Malcolm,Malcolm Perry,Perry,2.244444529215494,9.0,5000,TB@NE,NE,TB,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
39,39,64729-40746,TE,Troy,Troy Fumagalli,Fumagalli,2.571428571428572,7.0,5000,TB@NE,NE,TB,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
40,40,64729-47788,TE,Deon,Deon Yelder,Yelder,1.1833333174387617,6.0,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
41,41,64729-7856,WR,Matthew,Matthew Slater,Slater,0.0,1.0,5000,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
42,42,64729-69168,WR,N'Keal,N'Keal Harry,Harry,4.415384732759916,13.0,5000,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
43,43,64729-79920,WR,Cyril,Cyril Grayson,Grayson,0.0,2.0,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
44,44,64729-52409,RB,Jakob,Jakob Johnson,Johnson,1.6875,8.0,5000,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
45,45,64729-69304,QB,Kyle,Kyle Trask,Trask,,,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
46,46,64729-68155,TE,Codey,Codey McElroy,McElroy,,,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
47,47,64729-92093,WR,Jaelon,Jaelon Darden,Darden,0.5,1.0,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
48,48,64729-30654,TE,Jerell,Jerell Adams,Adams,0.0,1.0,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
49,49,64729-7872,QB,Brian,Brian Hoyer,Hoyer,1.5,2.0,5000,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
50,50,64729-33472,RB,C.J.,C.J. Prosise,Prosise,2.039999961853028,5.0,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
51,51,64729-130265,WR,John,John Hurst,Hurst,,,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
52,52,64729-130268,WR,Josh,Josh Pearson,Pearson,,,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
53,53,64729-130275,WR,Kristian,Kristian Wilkerson,Wilkerson,0.0,1.0,5000,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
54,54,64729-72676,RB,Troymaine,Troymaine Pope,Pope,3.950000047683716,4.0,5000,TB@NE,TB,NE,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
55,55,64729-62566,QB,Travis,Travis Jonsen,Jonsen,,,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
56,56,64729-14185,QB,Cam,Cam Newton,Newton,17.998667399088543,15.0,5000,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
57,57,64729-85994,TE,Dalton,Dalton Keene,Keene,0.7749999761581421,4.0,5000,TB@NE,NE,TB,IR,Knee - meniscus,,,,MVP - 1.5X Points/AnyFLEX
58,58,64729-14194,QB,Blaine,Blaine Gabbert,Gabbert,-0.3000000119209289,1.0,5000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
59,59,64729-29949,WR,Marvin,Marvin Hall,Hall,4.663636294278232,11.0,5000,TB@NE,NE,TB,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
