,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
493,WR,Brandon Smith (19395015),Brandon Smith,19395015,WR/FLEX,3000,CAR@DAL 10/03/2021 01:00PM ET,DAL,0.0
494,WR,Johnnie Dixon (19395017),Johnnie Dixon,19395017,WR/FLEX,3000,CAR@DAL 10/03/2021 01:00PM ET,DAL,0.0
495,WR,Brennan Eagles (19395019),Brennan Eagles,19395019,WR/FLEX,3000,CAR@DAL 10/03/2021 01:00PM ET,DAL,0.0
496,WR,Reggie Davis (19395021),Reggie Davis,19395021,WR/FLEX,3000,CAR@DAL 10/03/2021 01:00PM ET,DAL,0.0
497,WR,Robert Foster (19395023),Robert Foster,19395023,WR/FLEX,3000,CAR@DAL 10/03/2021 01:00PM ET,DAL,0.0
498,WR,Damion Ratley (19395025),Damion Ratley,19395025,WR/FLEX,3000,CAR@DAL 10/03/2021 01:00PM ET,DAL,0.0
499,WR,Lil'Jordan Humphrey (19394717),Lil'Jordan Humphrey,19394717,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NO,1.85
500,WR,Chris Hogan (19394721),Chris Hogan,19394721,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NO,3.53
501,WR,Ty Montgomery (19394723),Ty Montgomery,19394723,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NO,0.93
502,WR,Rysen John (19394953),Rysen John,19394953,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NYG,0.0
503,WR,C.J. Board (19394955),C.J. Board,19394955,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NYG,2.796
504,WR,John Ross III (19394957),John Ross III,19394957,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NYG,0.0
505,WR,Derrick Dillon (19394959),Derrick Dillon,19394959,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NYG,0.0
506,WR,Austin Mack (19394961),Austin Mack,19394961,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NYG,0.0
507,WR,Kelvin Benjamin (19394963),Kelvin Benjamin,19394963,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NYG,0.0
508,WR,Dante Pettis (19394965),Dante Pettis,19394965,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NYG,0.0
509,WR,David Sills (19394967),David Sills,19394967,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NYG,0.0
510,WR,Damion Willis (19394969),Damion Willis,19394969,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NYG,0.0
511,WR,Alex Bachman (19394971),Alex Bachman,19394971,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NYG,0.0
512,WR,Kenny Stills (19394973),Kenny Stills,19394973,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NO,2.7
513,WR,Kevin White (19394975),Kevin White,19394975,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NO,0.0
514,WR,Jake Lampman (19394977),Jake Lampman,19394977,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NO,0.0
515,WR,Jalen McCleskey (19394979),Jalen McCleskey,19394979,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NO,0.0
516,WR,Kawaan Baker (19394981),Kawaan Baker,19394981,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NO,0.0
517,WR,Easop Winston Jr. (19394983),Easop Winston Jr.,19394983,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NO,0.0
518,WR,Tommylee Lewis (19394985),Tommylee Lewis,19394985,WR/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NO,0.0
519,TE,Evan Engram (19395203),Evan Engram,19395203,TE/FLEX,3000,NYG@NO 10/03/2021 01:00PM ET,NYG,3.7199999999999998
520,WR,Anthony Schwartz (19394715),Anthony Schwartz,19394715,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,CLE,3.483
521,WR,Dede Westbrook (19394925),Dede Westbrook,19394925,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,MIN,0.63
522,WR,Ihmir Smith-Marsette (19394927),Ihmir Smith-Marsette,19394927,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,MIN,0.0
523,WR,Chad Beebe (19394929),Chad Beebe,19394929,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,MIN,0.0
524,WR,Olabisi Johnson (19394931),Olabisi Johnson,19394931,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,MIN,0.0
525,WR,Myron Mitchell (19394933),Myron Mitchell,19394933,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,MIN,0.0
526,WR,Trishton Jackson (19394935),Trishton Jackson,19394935,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,MIN,0.0
527,WR,Warren Jackson (19394937),Warren Jackson,19394937,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,MIN,0.0
528,WR,Whop Philyor (19394939),Whop Philyor,19394939,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,MIN,0.0
529,WR,Ryan Switzer (19394941),Ryan Switzer,19394941,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,CLE,0.0
530,WR,JoJo Ward (19394943),JoJo Ward,19394943,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,CLE,0.0
531,WR,Alexander Hollins (19394945),Alexander Hollins,19394945,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,CLE,0.0
532,WR,Davion Davis (19394947),Davion Davis,19394947,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,CLE,0.0
533,WR,JoJo Natson (19394949),JoJo Natson,19394949,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,CLE,0.0
534,WR,Ja'Marcus Bradley (19394951),Ja'Marcus Bradley,19394951,WR/FLEX,3000,CLE@MIN 10/03/2021 01:00PM ET,CLE,0.0
535,DST,Browns  (19395535),Browns ,19395535,DST,3000,CLE@MIN 10/03/2021 01:00PM ET,CLE,7.2
536,WR,Preston Williams (19394891),Preston Williams,19394891,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,MIA,1.2
537,WR,Mack Hollins (19394893),Mack Hollins,19394893,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,MIA,0.0
538,WR,Lynn Bowden Jr. (19394895),Lynn Bowden Jr.,19394895,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,MIA,0.0
539,WR,Allen Hurns (19394897),Allen Hurns,19394897,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,MIA,0.0
540,WR,Brandon Powell (19394899),Brandon Powell,19394899,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,MIA,0.0
541,WR,Kai Locksley (19394901),Kai Locksley,19394901,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,MIA,0.0
542,WR,Kirk Merritt (19394903),Kirk Merritt,19394903,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,MIA,0.0
543,WR,Isaiah Ford (19394905),Isaiah Ford,19394905,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,MIA,0.0
544,WR,Mike Strachan (19394907),Mike Strachan,19394907,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,IND,2.53
545,WR,Ashton Dulin (19394909),Ashton Dulin,19394909,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,IND,0.47300000000000003
546,WR,DeMichael Harris (19394911),DeMichael Harris,19394911,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,IND,0.0
547,WR,Dezmon Patmon (19394913),Dezmon Patmon,19394913,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,IND,0.0
548,WR,J.J. Nelson (19394915),J.J. Nelson,19394915,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,IND,0.0
549,WR,Tarik Black (19394917),Tarik Black,19394917,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,IND,0.0
550,WR,Keke Coutee (19394919),Keke Coutee,19394919,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,IND,0.0
551,WR,Gary Jennings (19394921),Gary Jennings,19394921,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,IND,0.0
552,WR,Quartney Davis (19394923),Quartney Davis,19394923,WR/FLEX,3000,IND@MIA 10/03/2021 01:00PM ET,IND,0.0
553,WR,Cam Sims (19394849),Cam Sims,19394849,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,WAS,1.97
554,WR,DeAndre Carter (19394851),DeAndre Carter,19394851,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,WAS,0.07
555,WR,Dax Milne (19394853),Dax Milne,19394853,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,WAS,0.0
556,WR,Curtis Samuel (19394855),Curtis Samuel,19394855,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,WAS,0.0
557,WR,Dalton Schoen (19394857),Dalton Schoen,19394857,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,WAS,0.0
558,WR,Isaiah Wright (19394859),Isaiah Wright,19394859,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,WAS,0.0
559,WR,Antonio Gandy-Golden (19394861),Antonio Gandy-Golden,19394861,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,WAS,0.0
560,WR,Tony Brown (19394863),Tony Brown,19394863,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,WAS,0.0
561,WR,Marken Michel (19394865),Marken Michel,19394865,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,WAS,0.0
562,WR,Kelvin Harmon (19394867),Kelvin Harmon,19394867,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,WAS,0.0
563,WR,Tajae Sharpe (19394869),Tajae Sharpe,19394869,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,ATL,1.13
564,WR,Christian Blake (19394871),Christian Blake,19394871,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,ATL,0.6
565,WR,Frank Darby (19394873),Frank Darby,19394873,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,ATL,0.0
566,WR,Juwan Green (19394875),Juwan Green,19394875,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,ATL,0.0
567,WR,Trevor Davis (19394877),Trevor Davis,19394877,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,ATL,0.0
568,WR,Antonio Nunn (19394879),Antonio Nunn,19394879,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,ATL,0.0
569,WR,Chris Rowland (19394881),Chris Rowland,19394881,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,ATL,0.0
570,WR,J'Mon Moore (19394883),J'Mon Moore,19394883,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,ATL,0.0
571,WR,Austin Trammell (19394885),Austin Trammell,19394885,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,ATL,0.0
572,WR,Jeff Badet (19394887),Jeff Badet,19394887,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,ATL,0.0
573,WR,Keelan Doss (19394889),Keelan Doss,19394889,WR/FLEX,3000,WAS@ATL 10/03/2021 01:00PM ET,ATL,0.0
574,WR,Jauan Jennings (19394719),Jauan Jennings,19394719,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SF,2.907
575,WR,Dee Eskridge (19394819),Dee Eskridge,19394819,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,3.8
576,WR,Penny Hart (19394821),Penny Hart,19394821,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,0.57
577,WR,Cody Thompson (19394823),Cody Thompson,19394823,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,0.0
578,WR,John Ursua (19394825),John Ursua,19394825,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,0.0
579,WR,Cade Johnson (19394827),Cade Johnson,19394827,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,0.0
580,WR,Darvin Kidsy (19394829),Darvin Kidsy,19394829,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,0.0
581,WR,Darece Roberson Jr. (19394831),Darece Roberson Jr.,19394831,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,0.0
582,WR,Aaron Fuller (19394833),Aaron Fuller,19394833,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,0.0
