,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
635,WR,Amara Darboh (19394757),Amara Darboh,19394757,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,DEN,0.0
636,WR,Seth Williams (19394759),Seth Williams,19394759,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,DEN,0.0
637,TE,Jordan Akins (19395207),Jordan Akins,19395207,TE/FLEX,2900,HOU@BUF 10/03/2021 01:00PM ET,HOU,3.9599999999999995
638,TE,Adam Trautman (19395209),Adam Trautman,19395209,TE/FLEX,2900,NYG@NO 10/03/2021 01:00PM ET,NO,1.6
639,DST,Giants  (19395536),Giants ,19395536,DST,2900,NYG@NO 10/03/2021 01:00PM ET,NYG,4.8
640,TE,Dan Arnold (19395211),Dan Arnold,19395211,TE/FLEX,2800,CAR@DAL 10/03/2021 01:00PM ET,CAR,5.08
641,TE,Juwan Johnson (19395213),Juwan Johnson,19395213,TE/FLEX,2800,NYG@NO 10/03/2021 01:00PM ET,NO,6.8
642,DST,Cardinals  (19395537),Cardinals ,19395537,DST,2800,ARI@LAR 10/03/2021 04:05PM ET,ARI,11.67
643,TE,Jimmy Graham (19395219),Jimmy Graham,19395219,TE/FLEX,2700,DET@CHI 10/03/2021 01:00PM ET,CHI,0.7
644,TE,Tyler Kroft (19395217),Tyler Kroft,19395217,TE/FLEX,2700,TEN@NYJ 10/03/2021 01:00PM ET,NYJ,3.883
645,TE,Jack Doyle (19395215),Jack Doyle,19395215,TE/FLEX,2700,IND@MIA 10/03/2021 01:00PM ET,IND,7.513000000000001
646,DST,Colts  (19395538),Colts ,19395538,DST,2700,IND@MIA 10/03/2021 01:00PM ET,IND,8.063
647,TE,Geoff Swaim (19395229),Geoff Swaim,19395229,TE/FLEX,2600,TEN@NYJ 10/03/2021 01:00PM ET,TEN,2.9
