,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,FP,Value
0,67063-55050,RB,Christian,Christian McCaffrey,McCaffrey,22.785,5,10000,WAS@CAR,CAR,WAS,,,,,,RB/FLEX,,
1,67063-53562,RB,Nick,Nick Chubb,Chubb,20.9475,7,9000,DET@CLE,CLE,DET,,,,,,RB/FLEX,,
2,67063-62239,QB,Josh,Josh Allen,Allen,28.0035,9,8800,IND@BUF,BUF,IND,,,,,,QB,,
3,67063-89675,RB,Jonathan,Jonathan Taylor,Taylor,16.8,10,8800,IND@BUF,IND,BUF,,,,,,RB/FLEX,,
4,67063-42104,RB,Alvin,Alvin Kamara,Kamara,0.0,8,8600,NO@PHI,NO,PHI,O,Knee - mcl,,,,RB/FLEX,,
5,67063-53681,WR,Tyreek,Tyreek Hill,Hill,19.955250000000003,10,8500,DAL@KC,KC,DAL,,,,,,WR/FLEX,,
6,67063-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,15.540000000000001,9,8500,DAL@KC,DAL,KC,,,,,,RB/FLEX,,
7,67063-45889,WR,Davante,Davante Adams,Adams,18.69,9,8400,GB@MIN,GB,MIN,,,,,,WR/FLEX,,
8,67063-54140,RB,Dalvin,Dalvin Cook,Cook,18.585,7,8400,GB@MIN,MIN,GB,,,,,,RB/FLEX,,
9,67063-31716,QB,Dak,Dak Prescott,Prescott,24.144750000000002,8,8400,DAL@KC,DAL,KC,,,,,,QB,,
10,67063-63115,QB,Lamar,Lamar Jackson,Jackson,24.57,9,8400,BAL@CHI,BAL,CHI,Q,Illness,,,,QB,,
11,67063-57439,QB,Patrick,Patrick Mahomes,Mahomes,26.460000000000004,10,8300,DAL@KC,KC,DAL,,,,,,QB,,
12,67063-63484,QB,Kyler,Kyler Murray,Murray,0.0,8,8200,ARI@SEA,ARI,SEA,Q,Ankle,,,,QB,,
13,67063-25079,WR,Stefon,Stefon Diggs,Diggs,17.30925,9,8100,IND@BUF,BUF,IND,,,,,,WR/FLEX,,
14,67063-45229,RB,Kareem,Kareem Hunt,Hunt,0.0,6,8000,DET@CLE,CLE,DET,IR,Calf,,,,RB/FLEX,,
