player_id,stat_id,name,team,pos,salary,schedule_id,home_moneyline,away_moneyline,home_total,away_total,opp,order,rpos,partner_id
1844156,0,"Harrison Bryant",CLE,TE,4300.00,80298,-162,137,25.75,22.75,ARI,11B,TE,70601
1844157,0,"Donovan Peoples-Jones",CLE,WR,5100.00,80298,-162,137,25.75,22.75,ARI,6B,WR,91426
1844160,0,"Ja'Marcus Bradley",CLE,WR,4600.00,80298,-162,137,25.75,22.75,ARI,,,64949
1844161,0,"Benny LeMay",IND,RB,4500.00,80290,-461,355,26.75,16.75,HOU,,,72718
1844185,0,"Chase Claypool",PIT,WR,6700.00,80297,-223,185,23.75,18.75,SEA,7B,WR,73111
1844186,0,"Anthony McFarland",PIT,RB,4500.00,80297,-223,185,23.75,18.75,SEA,,,88277
1844215,0,"Artavis Pierce",CHI,RB,4500.00,80296,191,-236,19.25,25.25,GBP,,,71578
1844217,0,"Cole Kmet",CHI,TE,4700.00,80296,191,-236,19.25,25.25,GBP,9B,TE,91047
1844218,0,"Darnell Mooney",CHI,WR,5600.00,80296,191,-236,19.25,25.25,GBP,5B,WR,69777
1844242,0,"Jason Huntley",PHI,RB,4500.00,80294,247,-305,22.75,29.75,TBB,,,70206
1844244,0,"D'Andre Swift",DET,RB,7100.00,80286,159,-190,21.5,25,CIN,2B,RB,91598
1844245,0,"Quintez Cephus",DET,WR,5300.00,80286,159,-190,21.5,25,CIN,,,71957
1844246,0,"Hunter Bryant",DET,TE,4000.00,80286,159,-190,21.5,25,CIN,,,86770
1844270,0,"Jalen Morton",IND,QB,6000.00,80290,-461,355,26.75,16.75,HOU,,,130334
1844272,0,"Patrick Taylor",GBP,RB,4500.00,80296,191,-236,19.25,25.25,CHI,,,72627
1844274,0,"AJ Dillon",GBP,RB,5400.00,80296,191,-236,19.25,25.25,CHI,3B,RB,93107
1844275,0,"Josiah Deguara",GBP,TE,4100.00,80296,191,-236,19.25,25.25,CHI,13B,TE,61112
1844276,0,"Jordan Love",GBP,QB,6000.00,80296,191,-236,19.25,25.25,CHI,,,69017
1844302,0,"Nate Stanley",MIN,QB,6000.00,80289,117,-139,21.25,23.75,CAR,,,71710
1844303,0,"Nakia Griffin-Stewart",NYG,TE,4000.00,80291,303,-387,20.25,28.25,LAR,,,64762
1844304,0,"K.J. Osborn",MIN,WR,5000.00,80289,117,-139,21.25,23.75,CAR,7B,WR,63855
1844305,0,"Quartney Davis",IND,WR,4500.00,80290,-461,355,26.75,16.75,HOU,,,71414
1844306,0,"Justin Jefferson",MIN,WR,7900.00,80289,117,-139,21.25,23.75,CAR,5B,WR,85671
1844330,0,"Gabriel Davis",BUF,WR,4700.00,80295,199,-243,23.75,29.25,TEN,9B,WR,94534
1844331,0,"Jake Fromm",BUF,QB,6000.00,80295,199,-243,23.75,29.25,TEN,,,91639
1844332,0,"Isaiah Hodgins",BUF,WR,4500.00,80295,199,-243,23.75,29.25,TEN,,,93055
1844333,0,"Zack Moss",BUF,RB,6200.00,80295,199,-243,23.75,29.25,TEN,2B,RB,70027
1844334,0,"Antonio Williams",BUF,RB,4500.00,80295,199,-243,23.75,29.25,TEN,,,68694
1844335,0,"Reggie Gilliam",BUF,TE,4000.00,80295,199,-243,23.75,29.25,TEN,4B,RB,70426
1844362,0,"Malcolm Perry",NEP,WR,4500.00,80292,156,-186,23.5,27,DAL,,,71974
1844363,0,"Tua Tagovailoa",MIA,QB,15000.00,80285,109,-128,22.75,24.25,JAC,1B,QB,90572
1844365,0,"Matt Cole",CAR,WR,4500.00,80289,117,-139,21.25,23.75,MIN,,,130279
1844366,0,"Kirk Merritt",MIA,WR,5000.00,80285,109,-128,22.75,24.25,JAC,9B,WR,63576
1844396,0,"Dalton Keene",NEP,TE,4000.00,80292,156,-186,23.5,27,DAL,,,85994
1844398,0,"J.J. Taylor",NEP,RB,4800.00,80292,156,-186,23.5,27,DAL,,,72370
1844399,0,"Brian Lewerke",NYG,QB,6000.00,80291,303,-387,20.25,28.25,LAR,,,64637
1844403,0,"Devin Asiasi",NEP,TE,4100.00,80292,156,-186,23.5,27,DAL,,,73089
1844429,0,"James Morgan",CAR,QB,6000.00,80289,117,-139,21.25,23.75,MIN,,,61276
1844430,0,"Lawrence Cager",CLE,WR,4500.00,80298,-162,137,25.75,22.75,ARI,,,63646
1844458,0,"Isaiah Coulter",CHI,WR,4500.00,80296,191,-236,19.25,25.25,GBP,,,130274
1844461,0,"Tyler Simmons",PIT,WR,4500.00,80297,-223,185,23.75,18.75,SEA,,,71360
1844462,0,"Scottie Phillips",HOU,RB,4500.00,80290,-461,355,26.75,16.75,IND,,,88590
1844484,0,"Rodrigo Blankenship",IND,K,9000.00,80290,-461,355,26.75,16.75,HOU,,,63791
1844485,0,"Jonathan Taylor",IND,RB,7500.00,80290,-461,355,26.75,16.75,HOU,2B,RB,89675
1844486,0,"De'Michael Harris",IND,WR,4500.00,80290,-461,355,26.75,16.75,HOU,,,89384
1844487,0,"Jacob Eason",IND,QB,6200.00,80290,-461,355,26.75,16.75,HOU,,,69333
1844488,0,"Dezmon Patmon",IND,WR,4500.00,80290,-461,355,26.75,16.75,HOU,,,69383
1844489,0,"Michael Pittman",IND,WR,5800.00,80290,-461,355,26.75,16.75,HOU,5B,WR,69213
1844490,0,"Farrod Green",IND,TE,4000.00,80290,-461,355,26.75,16.75,HOU,,,64603
1844520,0,"Collin Johnson",NYG,WR,4900.00,80291,303,-387,20.25,28.25,LAR,9B,WR,69836
1844521,0,"Tyler Davis",GBP,TE,4000.00,80296,191,-236,19.25,25.25,CHI,,,61172
1844522,0,"Laviska Shenault",JAC,WR,10000.00,80285,109,-128,22.75,24.25,MIA,6B,WR,87859
1844523,0,"Jake Luton",SEA,QB,6000.00,80297,-223,185,23.75,18.75,PIT,,,52929
1844548,0,"Kristian Wilkerson",NEP,WR,4500.00,80292,156,-186,23.5,27,DAL,,,130275
1844549,0,"Tommy Hudson",TEN,TE,4200.00,80295,199,-243,23.75,29.25,BUF,,,60791
1844550,0,"Darrynton Evans",TEN,RB,4500.00,80295,199,-243,23.75,29.25,BUF,,,70383
1844553,0,"Mason Kinsey",TEN,WR,4500.00,80295,199,-243,23.75,29.25,BUF,,,130276
1844554,0,"Cameron Scarlett",SEA,RB,4500.00,80297,-223,185,23.75,18.75,PIT,,,64901
1844577,0,"Darius Anderson",IND,RB,4500.00,80290,-461,355,26.75,16.75,HOU,,,69884
1844578,0,"CeeDee Lamb",DAL,WR,7000.00,80292,156,-186,23.5,27,NEP,5B,WR,86631
1844579,0,"Stephen Guidry",DAL,WR,4500.00,80292,156,-186,23.5,27,NEP,,,91214
1844580,0,"Sean McKeon",DAL,TE,4000.00,80292,156,-186,23.5,27,NEP,,,68730
1844581,0,"Charlie Taumoepeau",DET,TE,4000.00,80286,159,-190,21.5,25,CIN,,,95999
1844582,0,"Aaron Parker",CAR,WR,4500.00,80289,117,-139,21.25,23.75,MIN,,,130320
1844583,0,"Rico Dowdle",DAL,RB,4500.00,80292,156,-186,23.5,27,NEP,,,72297
1844584,0,"Sewo Olonilua",DAL,RB,4500.00,80292,156,-186,23.5,27,NEP,,,69894
1844585,0,"Ben DiNucci",DAL,QB,6000.00,80292,156,-186,23.5,27,NEP,,,63469
1844607,0,"Binjimen Victor",BAL,WR,4500.00,80293,-147,124,26.75,23.75,LAC,,,73180
1844608,0,"Rysen John",NYG,WR,4500.00,80291,303,-387,20.25,28.25,LAR,,,130338
1844609,0,"Javon Leake",DET,RB,4500.00,80286,159,-190,21.5,25,CIN,,,88317
1844610,0,"Austin Mack",NYG,WR,4500.00,80291,303,-387,20.25,28.25,LAR,,,68685
1844611,0,"Kyle Markway",CLE,TE,4000.00,80298,-162,137,25.75,22.75,ARI,,,64023
1844612,0,"Case Cookus",LVR,QB,6000.00,80288,-199,167,24,20,DEN,,,130337
1844613,0,"Derrick Dillon",NYG,WR,4500.00,80291,303,-387,20.25,28.25,LAR,,,60704
1844641,0,"John Hightower",PHI,WR,4500.00,80294,247,-305,22.75,29.75,TBB,,,86472
1844642,0,"Quez Watkins",PHI,WR,5000.00,80294,247,-305,22.75,29.75,TBB,6B,WR,73687
1844643,0,"Jalen Reagor",PHI,WR,5400.00,80294,247,-305,22.75,29.75,TBB,7B,WR,94625
1844644,0,"Michael Warren",DET,RB,4500.00,80286,159,-190,21.5,25,CIN,,,86295
1844646,0,"Jalen Hurts",PHI,QB,8300.00,80294,247,-305,22.75,29.75,TBB,1B,QB,69531
1844647,0,"Adrian Killins",DEN,RB,4500.00,80288,-199,167,24,20,LVR,,,72693
1844649,0,"Noah Togiai",PHI,TE,4000.00,80294,247,-305,22.75,29.75,TBB,12B,TE,64864
1844672,0,"Isaiah Wright",WAS,WR,4500.00,80287,243,-301,23.75,30.25,KCC,,,72669
1844674,0,"Antonio Gandy-Golden",WAS,WR,4600.00,80287,243,-301,23.75,30.25,KCC,10B,WR,94262
1844675,0,"Thaddeus Moss",CIN,TE,4000.00,80286,159,-190,21.5,25,DET,,,71048
1844676,0,"Antonio Gibson",WAS,RB,6700.00,80287,243,-301,23.75,30.25,KCC,2B,RB,90933
1844677,0,"Steven Montez",DET,QB,6000.00,80286,159,-190,21.5,25,CIN,,,64115
1844711,0,"Jared Pinkney",DET,WR,4500.00,80286,159,-190,21.5,25,CIN,,,63603
1844714,0,"Mikey Daniel",CAR,RB,4500.00,80289,117,-139,21.25,23.75,MIN,,,130318
1844740,0,"Cam Sutton",SEA,TE,4000.00,80297,-223,185,23.75,18.75,PIT,,,91945
1844741,0,"Omar Bayless",CAR,WR,4500.00,80289,117,-139,21.25,23.75,MIN,,,62891
1844742,0,"Rodney Smith",CAR,RB,4700.00,80289,117,-139,21.25,23.75,MIN,,,52591
1844743,0,"Giovanni Ricci",CAR,TE,4000.00,80289,117,-139,21.25,23.75,MIN,,,65477
1844772,0,"Tommy Stevens",NYG,QB,6000.00,80291,303,-387,20.25,28.25,LAR,,,61982
1844801,0,"Travis Jonsen",TBB,QB,6000.00,80294,247,-305,22.75,29.75,PHI,,,62566
1844802,0,"John Hurst",TBB,WR,4500.00,80294,247,-305,22.75,29.75,PHI,,,130265
1844803,0,"Ke'Shawn Vaughn",TBB,RB,4500.00,80294,247,-305,22.75,29.75,PHI,5B,RB,63078
1844804,0,"Raymond Calais",LAR,RB,4500.00,80291,303,-387,20.25,28.25,NYG,,,72091
1844805,0,"Tyler Johnson",TBB,WR,4900.00,80294,247,-305,22.75,29.75,PHI,9B,WR,68712
1844806,0,"Josh Pearson",TBB,WR,4500.00,80294,247,-305,22.75,29.75,PHI,,,130268
1844807,0,"Reid Sinnett",MIA,QB,12500.00,80285,109,-128,22.75,24.25,JAC,,,130269
1844831,0,"LeVante Bellamy",DEN,RB,4500.00,80288,-199,167,24,20,LVR,,,64962
1844832,0,"KJ Hamler",DEN,WR,4500.00,80288,-199,167,24,20,LVR,,,86192
1844833,0,"Jerry Jeudy",DEN,WR,5000.00,80288,-199,167,24,20,LVR,,,90561
1844834,0,"Tyrie Cleveland",DEN,WR,4500.00,80288,-199,167,24,20,LVR,11B,WR,71372
1844836,0,"Kendall Hinton",DEN,QB,6000.00,80288,-199,167,24,20,LVR,7B,WR,61042
1844837,0,"Albert Okwuegbunam",DEN,TE,4600.00,80288,-199,167,24,20,LVR,,,70859
1844865,0,"Clyde Edwards-Helaire",KCC,RB,6700.00,80287,243,-301,23.75,30.25,WAS,,,85741
1848516,0,"Josh Hammond",JAC,WR,5000.00,80285,109,-128,22.75,24.25,MIA,,,69310
1848517,0,"Ben Ellefson",MIN,TE,4000.00,80289,117,-139,21.25,23.75,CAR,,,130286
1848519,0,"James Robinson",JAC,RB,14500.00,80285,109,-128,22.75,24.25,MIA,2B,RB,130288
1849698,0,"Henry Ruggs",LVR,WR,5500.00,80288,-199,167,24,20,DEN,6B,WR,90537
1849699,0,"Lynn Bowden Jr.",MIA,WR,5000.00,80285,109,-128,22.75,24.25,JAC,,,87122
1849700,0,"Bryan Edwards",LVR,WR,5400.00,80288,-199,167,24,20,DEN,7B,WR,69276
1849725,0,"Justin Herbert",LAC,QB,8000.00,80293,-147,124,26.75,23.75,BAL,1B,QB,69189
1849726,0,"Joshua Kelley",LAC,RB,4600.00,80293,-147,124,26.75,23.75,BAL,3B,RB,91872
1849727,0,"K.J. Hill",LAC,WR,4600.00,80293,-147,124,26.75,23.75,BAL,9B,WR,63319
1849728,0,"Joe Reed",LAC,WR,4500.00,80293,-147,124,26.75,23.75,BAL,,,71821
1849753,0,"Jonathan Ward",ARI,RB,4500.00,80298,-162,137,25.75,22.75,CLE,4B,RB,69068
1849756,0,"Eno Benjamin",ARI,RB,4500.00,80298,-162,137,25.75,22.75,CLE,,,85762
1849778,0,"Brycen Hopkins",LAR,TE,4000.00,80291,303,-387,20.25,28.25,NYG,,,63697
1849781,0,"Trishton Jackson",MIN,WR,4500.00,80289,117,-139,21.25,23.75,CAR,,,72493
1849783,0,"Van Jefferson",LAR,WR,5400.00,80291,303,-387,20.25,28.25,NYG,7B,WR,64581
1849788,0,"J.J. Koski",LAR,WR,4500.00,80291,303,-387,20.25,28.25,NYG,,,130309
