Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65396-23670,SG/PG,Marcus,Marcus Smart,Smart,29.8277768735532,54,6500,BOS@NY,BOS,NY,,,,,,PG/SG
65396-14503,C,Jonas,Jonas Valanciunas,Valanciunas,34.3,69,6500,PHI@NO,NO,PHI,,,,,,C
65396-14507,PG,Kemba,Kemba Walker,Walker,33.1021286984707,47,6500,BOS@NY,NY,BOS,,,,,,PG
65396-15542,SG/PG,Spencer,Spencer Dinwiddie,Dinwiddie,34.3,3,6500,WAS@TOR,WAS,TOR,,,,,,PG/SG
65396-15590,C,Mason,Mason Plumlee,Plumlee,30.0142865862165,56,6500,IND@CHA,CHA,IND,,,,,,C
65396-110357,SF/SG,RJ,RJ Barrett,Barrett,30.1298701298701,77,6500,BOS@NY,NY,BOS,,,,,,SG/SF
65396-23447,C/PF,Richaun,Richaun Holmes,Holmes,32.0049188332479,61,6500,SAC@POR,SAC,POR,,,,,,PF/C
65396-9874,PF/C,Kevin,Kevin Love,Love,25.5480004882812,25,6400,CLE@MEM,CLE,MEM,,,,,,PF/C
65396-58378,C,Jakob,Jakob Poeltl,Poeltl,27.3628574916295,70,6300,ORL@SA,SA,ORL,,,,,,C
65396-15946,SF/PF,Harrison,Harrison Barnes,Barnes,30.4396551724138,58,6300,SAC@POR,SAC,POR,,,,,,SF/PF
65396-68203,C/PF,Chris,Chris Boucher,Boucher,29.8216674804687,60,6300,WAS@TOR,TOR,WAS,,,,,,PF/C
65396-84678,SF,Miles,Miles Bridges,Bridges,26.2910447761194,67,6300,IND@CHA,CHA,IND,GTD,Knee,,,,SF
65396-84708,PF/C,Robert,Robert Williams,Williams,25.408929007394,56,6300,BOS@NY,BOS,NY,,,,,,PF/C
65396-110347,PF/SF,Keldon,Keldon Johnson,Johnson,24.2371425083705,70,6300,ORL@SA,SA,ORL,,,,,,SF/PF
65396-145337,PG/SG,Tyrese,Tyrese Haliburton,Haliburton,28.3982754411369,58,6300,SAC@POR,SAC,POR,,,,,,PG/SG
65396-58253,PF,Myles,Myles Turner,Turner,33.2170202376995,47,6200,IND@CHA,IND,CHA,,,,,,PF
65396-18393,PG/SG,T.J.,T.J. McConnell,McConnell,27.6140841631822,71,6200,IND@CHA,IND,CHA,,,,,,PG/SG
65396-84679,PF/C,Marvin,Marvin Bagley,Bagley,26.0720924554869,43,6100,SAC@POR,SAC,POR,,,,,,PF/C
65396-110345,SF/PG,Kevin,Kevin Porter,Porter,33.6,26,6100,HOU@MIN,HOU,MIN,,,,,,PG/SF
65396-9475,PG/SG,Derrick,Derrick Rose,Rose,27.0727272727273,55,6000,BOS@NY,NY,BOS,,,,,,PG/SG
