,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,FP,Value
0,67454-89675,RB,Jonathan,Jonathan Taylor,Taylor,21.168000000000003,11,9800,TB@IND,IND,TB,,,,,,RB/FLEX,,
1,67454-55050,RB,Christian,Christian McCaffrey,McCaffrey,22.155,6,9700,CAR@MIA,CAR,MIA,,,,,,RB/FLEX,,
2,67454-79970,WR,Cooper,Cooper Kupp,Kupp,17.2,10,9500,LAR@GB,LAR,GB,,,,,,WR/FLEX,,
3,67454-90575,RB,Najee,Najee Harris,Harris,16.65825,10,8800,PIT@CIN,PIT,CIN,,,,,,RB/FLEX,,
4,67454-45889,WR,Davante,Davante Adams,Adams,17.430000000000003,10,8700,LAR@GB,GB,LAR,,,,,,WR/FLEX,,
5,67454-80001,RB,Austin,Austin Ekeler,Ekeler,17.115000000000002,10,8400,LAC@DEN,LAC,DEN,,,,,,RB/FLEX,,
6,67454-69531,QB,Jalen,Jalen Hurts,Hurts,21.945,11,8400,PHI@NYG,PHI,NYG,,,,,,QB,,
7,67454-6498,QB,Tom,Tom Brady,Brady,23.5935,10,8200,TB@IND,TB,IND,,,,,,QB,,
8,67454-85671,WR,Justin,Justin Jefferson,Jefferson,14.7,10,8100,MIN@SF,MIN,SF,,,,,,WR/FLEX,,
9,67454-54140,RB,Dalvin,Dalvin Cook,Cook,18.27,8,8100,MIN@SF,MIN,SF,,,,,,RB/FLEX,,
10,67454-52442,RB,Joe,Joe Mixon,Mixon,16.275000000000002,10,8000,PIT@CIN,CIN,PIT,,,,,,RB/FLEX,,
11,67454-56018,WR,Deebo,Deebo Samuel,Samuel,18.852750000000004,10,8000,MIN@SF,SF,MIN,,,,,,WR/FLEX,,
12,67454-14185,QB,Cam,Cam Newton,Newton,18.794999999999998,2,8000,CAR@MIA,CAR,MIA,,,,,,QB,,
13,67454-6894,QB,Aaron,Aaron Rodgers,Rodgers,19.215,10,7900,LAR@GB,GB,LAR,,,,,,QB,,
14,67454-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,16.695,9,7800,ATL@JAC,ATL,JAC,Q,Ankle,,,,RB/FLEX,,
15,67454-69189,QB,Justin,Justin Herbert,Herbert,22.89,10,7800,LAC@DEN,LAC,DEN,,,,,,QB,,
16,67454-6654,QB,Matthew,Matthew Stafford,Stafford,20.16,10,7700,LAR@GB,LAR,GB,,,,,,QB,,
17,67454-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,14.2,10,7700,PIT@CIN,CIN,PIT,,,,,,WR/FLEX,,
18,67454-130288,RB,James,James Robinson,Robinson,13.9,9,7600,ATL@JAC,JAC,ATL,,,,,,RB/FLEX,,
19,67454-55635,WR,Chris,Chris Godwin,Godwin,16.317,10,7600,TB@IND,TB,IND,,,,,,WR/FLEX,,
20,67454-22038,QB,Kirk,Kirk Cousins,Cousins,18.165000000000003,10,7500,MIN@SF,MIN,SF,,,,,,QB,,
21,67454-32384,WR,Mike,Mike Evans,Evans,14.28,10,7500,TB@IND,TB,IND,,,,,,WR/FLEX,,
22,67454-64401,RB,Saquon,Saquon Barkley,Barkley,15.161999999999999,6,7500,PHI@NYG,NYG,PHI,Q,Ankle,,,,RB/FLEX,,
23,67454-14377,QB,Tyrod,Tyrod Taylor,Taylor,19.005000000000003,4,7400,NYJ@HOU,HOU,NYJ,,,,,,QB,,
24,67454-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,,9,7300,LAR@GB,LAR,GB,,,,,,RB/FLEX,,
25,67454-70324,QB,Carson,Carson Wentz,Wentz,18.522000000000002,11,7300,TB@IND,IND,TB,,,,,,QB,,
26,67454-21948,QB,Ryan,Ryan Tannehill,Tannehill,15.760499999999999,11,7200,TEN@NE,TEN,NE,,,,,,QB,,
27,67454-39716,WR,Adam,Adam Thielen,Thielen,11.4,10,7200,MIN@SF,MIN,SF,,,,,,WR/FLEX,,
28,67454-6616,QB,Matt,Matt Ryan,Ryan,18.06,10,7100,ATL@JAC,ATL,JAC,,,,,,QB,,
29,67454-66008,WR,Diontae,Diontae Johnson,Johnson,11.399999999999999,9,7100,PIT@CIN,PIT,CIN,,,,,,WR/FLEX,,
30,67454-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,17.325,10,7100,LAC@DEN,DEN,LAC,,,,,,QB,,
31,67454-52922,RB,Leonard,Leonard Fournette,Fournette,13.334999999999999,10,7100,TB@IND,TB,IND,,,,,,RB/FLEX,,
32,67454-63336,QB,Joe,Joe Burrow,Burrow,18.585,10,7100,PIT@CIN,CIN,PIT,,,,,,QB,,
33,67454-63519,QB,Daniel,Daniel Jones,Jones,17.955000000000002,10,7000,PHI@NYG,NYG,PHI,,,,,,QB,,
34,67454-11612,WR,Antonio,Antonio Brown,Brown,0.0,5,7000,TB@IND,TB,IND,O,Ankle,,,,WR/FLEX,,
35,67454-40442,RB,Aaron,Aaron Jones,Jones,7.8,10,7000,LAR@GB,GB,LAR,Q,Knee - mcl,,,,RB/FLEX,,
36,67454-29253,WR,Keenan,Keenan Allen,Allen,13.755,10,7000,LAC@DEN,LAC,DEN,,,,,,WR/FLEX,,
37,67454-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,16.758,7,6900,CAR@MIA,MIA,CAR,,,,,,QB,,
38,67454-93107,RB,AJ,AJ Dillon,Dillon,,11,6900,LAR@GB,GB,LAR,,,,,,RB/FLEX,,
39,67454-72846,WR,A.J.,A.J. Brown,Brown,0.0,10,6800,TEN@NE,TEN,NE,IR,Chest,,,,WR/FLEX,,
40,67454-92413,RB,Eli,Eli Mitchell,Mitchell,,7,6800,MIN@SF,SF,MIN,Q,Finger,,,,RB/FLEX,,
41,67454-90584,QB,Mac,Mac Jones,Jones,19.404000000000003,11,6800,TEN@NE,NE,TEN,,,,,,QB,,
42,67454-90573,WR,Jaylen,Jaylen Waddle,Waddle,9.879999999999999,11,6700,CAR@MIA,MIA,CAR,,,,,,WR/FLEX,,
43,67454-6714,QB,Joe,Joe Flacco,Flacco,0.0,2,6700,NYJ@HOU,NYJ,HOU,IR,Undisclosed,,,,QB,,
44,67454-63043,WR,DJ,DJ Moore,Moore,,11,6700,CAR@MIA,CAR,MIA,,,,,,WR/FLEX,,
45,67454-40534,QB,Mike,Mike White,White,0.0,4,6700,NYJ@HOU,NYJ,HOU,IR,Illness,,,,QB,,
46,67454-89951,QB,Trevor,Trevor Lawrence,Lawrence,18.06,10,6700,ATL@JAC,JAC,ATL,,,,,,QB,,
47,67454-39793,TE,George,George Kittle,Kittle,12.495000000000001,7,6700,MIN@SF,SF,MIN,,,,,,TE/FLEX,,
48,67454-86080,TE,Kyle,Kyle Pitts,Pitts,11.9,10,6600,ATL@JAC,ATL,JAC,,,,,,TE/FLEX,,
49,67454-6589,QB,Ben,Ben Roethlisberger,Roethlisberger,14.962499999999999,9,6600,PIT@CIN,PIT,CIN,,,,,,QB,,
50,67454-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,,11,6600,TB@IND,IND,TB,,,,,,WR/FLEX,,
51,67454-39829,WR,Mike,Mike Williams,Williams,10.1,10,6600,LAC@DEN,LAC,DEN,,,,,,WR/FLEX,,
52,67454-64555,WR,Calvin,Calvin Ridley,Ridley,0.0,5,6500,ATL@JAC,ATL,JAC,IR,Personal,,,,WR/FLEX,,
53,67454-63589,QB,Sam,Sam Darnold,Darnold,0.0,9,6500,CAR@MIA,CAR,MIA,IR,Shoulder,,,,QB,,
54,67454-149696,QB,Trey,Trey Lance,Lance,0.0,5,6500,MIN@SF,SF,MIN,,,,,,QB,,
55,67454-11460,TE,Rob,Rob Gronkowski,Gronkowski,8.4,5,6500,TB@IND,TB,IND,,,,,,TE/FLEX,,
56,67454-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,19.955250000000003,9,6500,MIN@SF,SF,MIN,,,,,,QB,,
57,67454-73111,WR,Chase,Chase Claypool,Claypool,9.879999999999999,8,6500,PIT@CIN,PIT,CIN,,,,,,WR/FLEX,,
58,67454-39580,RB,Devontae,Devontae Booker,Booker,2.5269999999999997,9,6500,PHI@NYG,NYG,PHI,,,,,,RB/FLEX,,
59,67454-29501,WR,Brandin,Brandin Cooks,Cooks,11.1,10,6500,NYJ@HOU,HOU,NYJ,,,,,,WR/FLEX,,
60,67454-93539,RB,Michael,Michael Carter,Carter,0.0,10,6400,NYJ@HOU,NYJ,HOU,O,Ankle,,,,RB/FLEX,,
61,67454-90576,WR,DeVonta,DeVonta Smith,Smith,11.1,11,6400,PHI@NYG,PHI,NYG,,,,,,WR/FLEX,,
62,67454-88575,WR,Elijah,Elijah Moore,Moore,8.36,9,6400,NYJ@HOU,NYJ,HOU,,,,,,WR/FLEX,,
63,67454-30231,QB,Jacoby,Jacoby Brissett,Brissett,0.0,8,6400,CAR@MIA,MIA,CAR,,,,,,QB,,
64,67454-28900,RB,Melvin,Melvin Gordon III,Gordon III,,10,6300,LAC@DEN,DEN,LAC,,,,,,RB/FLEX,,
65,67454-40407,QB,Josh,Josh Dobbs,Dobbs,,2,6300,PIT@CIN,PIT,CIN,IR,Toe,,,,QB,,
66,67454-73183,QB,Dwayne,Dwayne Haskins Jr.,Haskins Jr.,,8,6300,PIT@CIN,PIT,CIN,,,,,,QB,,
67,67454-53729,QB,Mason,Mason Rudolph,Rudolph,0.0,1,6300,PIT@CIN,PIT,CIN,,,,,,QB,,
68,67454-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,10.395000000000001,10,6300,MIN@SF,SF,MIN,,,,,,WR/FLEX,,
69,67454-90406,QB,Zach,Zach Wilson,Wilson,16.9575,6,6200,NYJ@HOU,NYJ,HOU,,,,,,QB,,
70,67454-60930,RB,Myles,Myles Gaskin,Gaskin,12.46875,11,6200,CAR@MIA,MIA,CAR,,,,,,RB/FLEX,,
71,67454-89628,QB,Davis,Davis Mills,Mills,0.0,7,6200,NYJ@HOU,HOU,NYJ,,,,,,QB,,
72,67454-27477,WR,Sterling,Sterling Shepard,Shepard,0.0,5,6200,PHI@NYG,NYG,PHI,O,Quadriceps,,,,WR/FLEX,,
73,67454-89981,WR,Tee,Tee Higgins,Higgins,10.5,8,6200,PIT@CIN,CIN,PIT,,,,,,WR/FLEX,,
74,67454-56265,TE,Mike,Mike Gesicki,Gesicki,8.264999999999999,11,6200,CAR@MIA,MIA,CAR,,,,,,TE/FLEX,,
75,67454-71845,RB,Miles,Miles Sanders,Sanders,11.3,8,6100,PHI@NYG,PHI,NYG,,,,,,RB/FLEX,,
76,67454-29915,QB,Brett,Brett Hundley,Hundley,,2,6100,TB@IND,IND,TB,,,,,,QB,,
77,67454-27986,QB,C.J.,C.J. Beathard,Beathard,0.0,1,6100,ATL@JAC,JAC,ATL,,,,,,QB,,
78,67454-61798,QB,Gardner,Gardner Minshew II,Minshew II,,1,6100,PHI@NYG,PHI,NYG,,,,,,QB,,
79,67454-45439,WR,Corey,Corey Davis,Davis,8.549999999999999,8,6100,NYJ@HOU,NYJ,HOU,Q,Groin,,,,WR/FLEX,,
80,67454-69017,QB,Jordan,Jordan Love,Love,0.0,4,6100,LAR@GB,GB,LAR,,,,,,QB,,
81,67454-90561,WR,Jerry,Jerry Jeudy,Jeudy,10.5,4,6100,LAC@DEN,DEN,LAC,,,,,,WR/FLEX,,
82,67454-31170,QB,Brandon,Brandon Allen,Allen,0.0,2,6100,PIT@CIN,CIN,PIT,,,,,,QB,,
83,67454-64051,QB,Drew,Drew Lock,Lock,0.0,1,6100,LAC@DEN,DEN,LAC,,,,,,QB,,
84,67454-8803,QB,Chase,Chase Daniel,Daniel,0.0,5,6100,LAC@DEN,LAC,DEN,,,,,,QB,,
85,67454-7872,QB,Brian,Brian Hoyer,Hoyer,0.0,3,6100,TEN@NE,NE,TEN,,,,,,QB,,
86,67454-25410,QB,Mike,Mike Glennon,Glennon,0.0,1,6100,PHI@NYG,NYG,PHI,,,,,,QB,,
87,67454-8023,QB,Josh,Josh Johnson,Johnson,0.0,2,6100,NYJ@HOU,NYJ,HOU,,,,,,QB,,
88,67454-41827,QB,P.J.,P.J. Walker,Walker,0.0,3,6100,CAR@MIA,CAR,MIA,,,,,,QB,,
89,67454-56192,QB,John,John Wolford,Wolford,0.0,2,6100,LAR@GB,LAR,GB,,,,,,QB,,
90,67454-71710,QB,Nate,Nate Stanley,Stanley,,,6000,MIN@SF,MIN,SF,IR,Undisclosed,,,,QB,,
91,67454-57403,WR,Courtland,Courtland Sutton,Sutton,9.0,10,6000,LAC@DEN,DEN,LAC,,,,,,WR/FLEX,,
92,67454-64576,RB,Damien,Damien Harris,Harris,9.240000000000002,10,6000,TEN@NE,NE,TEN,Q,Neck,,,,RB/FLEX,,
93,67454-39034,QB,Kurt,Kurt Benkert,Benkert,,1,6000,LAR@GB,GB,LAR,,,,,,QB,,
94,67454-64637,QB,Brian,Brian Lewerke,Lewerke,,1,6000,PHI@NYG,NYG,PHI,,,,,,QB,,
95,67454-83079,QB,Kyle,Kyle Lauletta,Lauletta,,,6000,ATL@JAC,JAC,ATL,,,,,,QB,,
