,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
85,68149-14523,PG,Reggie,Reggie Jackson,Jackson,28.8,24.0,5500,LAC@POR,LAC,POR,,,,,,PG
86,68149-23776,C/PF,Montrezl,Montrezl Harrell,Harrell,26.2,24.0,5500,WAS@IND,WAS,IND,,,,,,PF/C
87,68149-63126,SF/PF,Cedi,Cedi Osman,Osman,17.8,18.0,5400,CLE@MIL,CLE,MIL,,,,,,SF/PF
88,68149-110347,PF/SF,Keldon,Keldon Johnson,Johnson,27.3,21.0,5400,SA@PHO,SA,PHO,,,,,,SF/PF
89,68149-9874,PF/C,Kevin,Kevin Love,Love,24.8,16.0,5300,CLE@MIL,CLE,MIL,,,,,,PF/C
90,68149-110315,SG/SF,Terance,Terance Mann,Mann,20.0,23.0,5300,LAC@POR,LAC,POR,,,,,,SG/SF
91,68149-145307,PF,Isaiah,Isaiah Stewart,Stewart,28.6,20.0,5300,OKC@DET,DET,OKC,,,,,,PF
92,68149-40396,PG,Monte,Monte Morris,Morris,23.5,22.0,5300,DEN@CHI,DEN,CHI,,,,,,PG
93,68149-15557,C,Andre,Andre Drummond,Drummond,17.2,22.0,5200,PHI@CHA,PHI,CHA,,,,,,C
95,68149-16293,SF/SG,Norman,Norman Powell,Powell,25.4,20.0,5200,LAC@POR,POR,LAC,,,,,,SG/SF
96,68149-9648,PF/SF,Jeff,Jeff Green,Green,20.8,22.0,5200,DEN@CHI,DEN,CHI,,,,,,SF/PF
99,68149-110320,SF,Matisse,Matisse Thybulle,Thybulle,15.7,16.0,5100,PHI@CHA,PHI,CHA,,,,,,SF
100,68149-23798,SG/SF,Caris,Caris LeVert,LeVert,33.9,17.0,5100,WAS@IND,IND,WAS,,,,,,SG/SF
101,68149-15636,SG/SF,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,21.9,24.0,5100,WAS@IND,WAS,IND,,,,,,SG/SF
102,68149-80825,PF,Isaiah,Isaiah Hartenstein,Hartenstein,16.7,23.0,5100,LAC@POR,LAC,POR,,,,,,PF
104,68149-12355,SG/PG,Eric,Eric Bledsoe,Bledsoe,16.3,24.0,5000,LAC@POR,LAC,POR,,,,,,PG/SG
106,68149-110351,SG,Cody,Cody Martin,Martin,25.5,23.0,5000,PHI@CHA,CHA,PHI,,,,,,SG
108,68149-110995,C,Naz,Naz Reid,Reid,18.3,21.0,5000,ATL@MIN,MIN,ATL,,,,,,C
110,68149-80814,PG,Dennis,Dennis Smith,Smith,31.9,13.0,5000,LAC@POR,POR,LAC,,,,,,PG
112,68149-85137,SG,Duncan,Duncan Robinson,Robinson,18.6,24.0,4900,MEM@MIA,MIA,MEM,,,,,,SG
115,68149-15628,SF/PF,Otto,Otto Porter,Porter,23.4,20.0,4900,ORL@GS,GS,ORL,,,,,,SF/PF
116,68149-15800,PF/SF,Jae,Jae Crowder,Crowder,22.7,23.0,4900,SA@PHO,PHO,SA,,,,,,SF/PF
117,68149-9758,SG/SF,Danny,Danny Green,Green,16.5,16.0,4800,PHI@CHA,PHI,CHA,,,,,,SG/SF
118,68149-145489,PG,Killian,Killian Hayes,Hayes,23.0,17.0,4800,OKC@DET,DET,OKC,,,,,,PG
120,68149-157830,PF,Jeremiah,Jeremiah Robinson-Earl,Robinson-Earl,21.8,22.0,4800,OKC@DET,OKC,DET,,,,,,PF
121,68149-157828,SF,Chris,Chris Duarte,Duarte,23.9,23.0,4800,WAS@IND,IND,WAS,,,,,,SF
123,68149-18256,PF/SF,Doug,Doug McDermott,McDermott,18.5,14.0,4800,SA@PHO,SA,PHO,,,,,,SF/PF
124,68149-145328,SF,Saddiq,Saddiq Bey,Bey,27.8,22.0,4800,OKC@DET,DET,OKC,,,,,,SF
125,68149-66046,SG/SF,Luke,Luke Kennard,Kennard,19.2,24.0,4800,LAC@POR,LAC,POR,,,,,,SG/SF
126,68149-20491,PF/SF,Robert,Robert Covington,Covington,18.8,24.0,4700,LAC@POR,POR,LAC,,,,,,SF/PF
127,68149-113267,SG/SF,Caleb,Caleb Martin,Martin,15.6,21.0,4700,MEM@MIA,MIA,MEM,,,,,,SG/SF
130,68149-110339,SG/SF,Cam,Cam Reddish,Reddish,20.2,21.0,4700,ATL@MIN,ATL,MIN,GTD,Wrist,,,,SG/SF
131,68149-9637,SF/PF,Danilo,Danilo Gallinari,Gallinari,20.7,21.0,4700,ATL@MIN,ATL,MIN,,,,,,SF/PF
133,68149-24544,SG/SF,Gary,Gary Harris,Harris,18.0,18.0,4700,ORL@GS,ORL,GS,,,,,,SG/SF
134,68149-117779,SF/PF,Juan,Juan Toscano-Anderson,Toscano-Anderson,21.3,22.0,4600,ORL@GS,GS,ORL,,,,,,SF/PF
135,68149-110637,PF/SF,Darius,Darius Bazley,Bazley,21.4,22.0,4600,OKC@DET,OKC,DET,,,,,,SF/PF
136,68149-12362,C,DeMarcus,DeMarcus Cousins,Cousins,18.4,2.0,4600,CLE@MIL,MIL,CLE,,,,,,C
137,68149-14512,PF/SF,Marcus,Marcus Morris,Morris,21.4,8.0,4600,LAC@POR,LAC,POR,,,,,,SF/PF
139,68149-84704,SG/SF,Kevin,Kevin Huerter,Huerter,24.4,23.0,4600,ATL@MIN,ATL,MIN,,,,,,SG/SF
142,68149-48567,PG/SG,Cameron,Cameron Payne,Payne,25.7,18.0,4600,SA@PHO,PHO,SA,,,,,,PG/SG
143,68149-9739,C,JaVale,JaVale McGee,McGee,21.8,23.0,4500,SA@PHO,PHO,SA,,,,,,C
144,68149-66064,SF/SG,Malik,Malik Beasley,Beasley,19.7,23.0,4500,ATL@MIN,MIN,ATL,,,,,,SG/SF
147,68149-145547,PG,Facundo,Facundo Campazzo,Campazzo,22.6,21.0,4500,DEN@CHI,DEN,CHI,,,,,,PG
148,68149-12511,PG/SG,Ish,Ish Smith,Smith,29.8,18.0,4500,PHI@CHA,CHA,PHI,,,,,,PG/SG
149,68149-84711,SG,Grayson,Grayson Allen,Allen,21.2,23.0,4500,CLE@MIL,MIL,CLE,GTD,Illness,,,,SG
157,68149-84702,SG/SF,Lonnie,Lonnie Walker,Walker,17.4,21.0,4300,SA@PHO,SA,PHO,,,,,,SG/SF
159,68149-145341,SF,Isaac,Isaac Okoro,Okoro,15.1,17.0,4300,CLE@MIL,CLE,MIL,,,,,,SF
160,68149-9703,PG,George,George Hill,Hill,19.4,22.0,4300,CLE@MIL,MIL,CLE,GTD,Knee,,,,PG
161,68149-16405,SG/SF,Terrence,Terrence Ross,Ross,21.9,23.0,4200,ORL@GS,ORL,GS,,,,,,SG/SF
163,68149-9957,PF/C,Serge,Serge Ibaka,Ibaka,20.4,10.0,4200,LAC@POR,LAC,POR,,,,,,PF/C
