PG,PG,SG,SG,SF,SF,PF,PF,C
68149-80814,68149-58081,68149-23798,68149-12511,68149-60233,68149-12366,68149-59358,68149-84683,68149-55062
68149-14496,68149-9524,68149-15595,68149-48567,68149-58153,68149-58377,68149-145307,68149-23776,68149-84673
68149-9623,68149-84703,68149-145334,68149-40783,68149-9714,68149-145328,68149-42156,68149-145336,68149-55057
68149-12511,68149-16359,68149-15595,68149-23798,68149-9714,68149-58153,68149-58377,68149-23776,68149-84673
68149-80814,68149-58081,68149-60233,68149-16359,68149-49116,68149-110347,68149-42156,68149-84683,68149-49111
68149-80814,68149-12511,68149-15595,68149-23798,68149-58153,68149-84678,68149-58377,68149-23776,68149-55062
68149-14523,68149-58081,68149-60233,68149-12341,68149-49116,68149-145328,68149-84683,68149-110347,68149-55062
68149-80814,68149-84671,68149-15595,68149-16359,68149-23798,68149-145328,68149-15860,68149-58377,68149-110325
68149-157808,68149-84703,68149-145334,68149-12511,68149-60233,68149-12341,68149-59358,68149-58253,68149-84675
68149-80814,68149-12511,68149-15595,68149-23798,68149-60233,68149-58377,68149-59358,68149-23776,68149-55062
