Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
66867-40199,PF/SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,55.2833353678385,12,11600,MIL@BOS,MIL,BOS,GTD,Ankle,,,,SF/PF
66867-55062,C,Nikola,Nikola Jokic,Jokic,54.4700012207031,10,11400,ATL@DEN,DEN,ATL,,,,,,C
66867-15755,PF/C,Anthony,Anthony Davis,Davis,49,12,10800,MIN@LAL,LAL,MIN,GTD,Thumb,,,,PF/C
66867-9646,SF/PF,Kevin,Kevin Durant,Durant,47.4500020345052,12,10300,BKN@NO,BKN,NO,,,,,,SF/PF
66867-84669,PG/SG,Luka,Luka Doncic,Doncic,45.6454551003196,11,10200,DAL@SA,DAL,SA,,,,,,PG/SG
66867-9524,PG,Stephen,Stephen Curry,Curry,48.6545465642756,11,10100,CHI@GS,GS,CHI,,,,,,PG
66867-9488,SF/PF,LeBron,LeBron James,James,47.2666676839193,6,10000,MIN@LAL,LAL,MIN,O,Abdomen,,,,SF/PF
66867-9642,PG/SG,Russell,Russell Westbrook,Westbrook,43.5249989827474,12,9900,MIN@LAL,LAL,MIN,,,,,,PG/SG
66867-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,44.2899993896484,10,9700,MIN@LAL,MIN,LAL,,,,,,C
66867-80808,SF/PF,Jayson,Jayson Tatum,Tatum,42.2727272727273,11,9600,MIL@BOS,BOS,MIL,,,,,,SF/PF
66867-9644,SG/PG,James,James Harden,Harden,41.9750010172526,12,9600,BKN@NO,BKN,NO,,,,,,PG/SG
66867-67708,PG/SG,Dejounte,Dejounte Murray,Murray,45.9454539905895,11,9500,DAL@SA,SA,DAL,,,,,,PG/SG
66867-42669,PF/C,Julius,Julius Randle,Randle,44.2666676839193,12,9400,NY@CHA,NY,CHA,,,,,,PF/C
66867-110344,PG,Ja,Ja Morant,Morant,46.3272732821378,11,9300,PHO@MEM,MEM,PHO,,,,,,PG
66867-84671,PG,Trae,Trae Young,Young,41.1083323160807,12,9200,ATL@DEN,ATL,DEN,,,,,,PG
66867-14498,PG/SG,Kyrie,Kyrie Irving,Irving,44.5515632629395,64,8900,BKN@NO,BKN,NO,O,Personal,,,,PG/SG
66867-145485,PG,LaMelo,LaMelo Ball,Ball,42.3692298302284,13,8800,NY@CHA,CHA,NY,,,,,,PG
66867-9714,SG/SF,DeMar,DeMar DeRozan,DeRozan,40.9818170720881,11,8700,CHI@GS,CHI,GS,,,,,,SG/SF
66867-14503,C,Jonas,Jonas Valanciunas,Valanciunas,43.6333312988281,12,8600,BKN@NO,NO,BKN,,,,,,C
66867-20848,PG,Damian,Damian Lillard,Lillard,37,12,8500,POR@HOU,POR,HOU,,,,,,PG
