PG,PG,SG,SG,SF,SF,PF,PF,C
65723-80810,65723-157907,65723-9644,65723-84680,65723-110345,65723-110356,65723-12351,65723-157845,65723-14503
65723-145327,65723-157812,65723-49675,65723-16359,65723-157851,65723-111273,65723-42202,65723-59358,65723-55062
65723-67708,65723-14507,65723-145541,65723-16405,65723-66048,65723-80808,65723-84682,65723-58253,65723-84708
65723-67708,65723-49675,65723-9644,65723-84680,65723-110345,65723-110356,65723-12351,65723-157845,65723-14503
65723-145327,65723-80810,65723-157851,65723-157907,65723-111273,65723-84682,65723-42202,65723-58253,65723-55062
65723-80810,65723-14507,65723-49675,65723-84680,65723-110345,65723-110356,65723-42202,65723-157845,65723-14503
65723-145327,65723-14507,65723-157907,65723-9644,65723-157851,65723-111273,65723-12351,65723-80808,65723-55062
65723-80810,65723-49675,65723-110356,65723-84680,65723-80808,65723-110345,65723-12351,65723-157845,65723-14503
65723-145327,65723-14507,65723-157907,65723-9644,65723-157851,65723-111273,65723-42202,65723-23776,65723-55062
65723-145327,65723-80810,65723-9644,65723-84680,65723-110345,65723-110356,65723-12351,65723-157845,65723-14503
65723-67708,65723-14507,65723-49675,65723-16359,65723-157851,65723-111273,65723-41594,65723-42202,65723-55062
65723-80810,65723-49675,65723-157907,65723-84680,65723-110345,65723-110356,65723-42202,65723-157845,65723-14503
65723-145327,65723-67708,65723-157851,65723-9644,65723-111273,65723-84682,65723-12351,65723-58253,65723-55062
65723-80810,65723-67708,65723-49675,65723-84680,65723-110345,65723-110356,65723-157845,65723-58253,65723-14503
65723-145327,65723-9673,65723-67708,65723-9644,65723-157851,65723-111273,65723-42202,65723-12351,65723-55062
65723-80810,65723-49675,65723-9644,65723-84680,65723-110345,65723-111273,65723-12351,65723-157845,65723-14503
65723-145327,65723-14507,65723-67708,65723-157907,65723-157851,65723-110356,65723-42202,65723-84682,65723-55062
65723-49675,65723-9644,65723-16359,65723-84680,65723-110345,65723-110356,65723-12351,65723-157845,65723-14503
65723-80810,65723-14507,65723-145327,65723-67708,65723-157851,65723-111273,65723-42202,65723-80812,65723-55062
65723-80810,65723-49675,65723-157851,65723-84680,65723-110345,65723-110356,65723-157845,65723-80808,65723-14503
