Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65723-55062,C,Nikola,Nikola Jokic,Jokic,48.5999984741211,1,11100,SA@DEN,DEN,SA,,,,,,C
65723-9646,SF/PF,Kevin,Kevin Durant,Durant,56.2000007629395,1,10800,BKN@PHI,BKN,PHI,,,,,,SF/PF
65723-49111,C,Joel,Joel Embiid,Embiid,41.7000007629395,1,10700,BKN@PHI,PHI,BKN,GTD,Knee,,,,C
65723-9488,SF/PF,LeBron,LeBron James,James,56.7000007629395,1,10400,PHO@LAL,LAL,PHO,,,,,,SF/PF
65723-9644,SG/PG,James,James Harden,Harden,46.5999984741211,1,10300,BKN@PHI,BKN,PHI,,,,,,PG/SG
65723-15755,PF/C,Anthony,Anthony Davis,Davis,58.2000007629395,1,10200,PHO@LAL,LAL,PHO,,,,,,PF/C
65723-80808,SF/PF,Jayson,Jayson Tatum,Tatum,42.2000007629395,1,9800,TOR@BOS,BOS,TOR,,,,,,SF/PF
65723-59358,PF/C,Domantas,Domantas Sabonis,Sabonis,48,1,9700,IND@WAS,IND,WAS,,,,,,PF/C
65723-42669,PF/C,Julius,Julius Randle,Randle,60.0999984741211,1,9500,NY@ORL,NY,ORL,,,,,,PF/C
65723-15595,SG/PG,Bradley,Bradley Beal,Beal,40.5999984741211,1,9400,IND@WAS,WAS,IND,GTD,Groin,,,,PG/SG
65723-9642,PG/SG,Russell,Russell Westbrook,Westbrook,16,1,9100,PHO@LAL,LAL,PHO,,,,,,PG/SG
65723-14498,PG/SG,Kyrie,Kyrie Irving,Irving,44.5515632629395,64,8800,BKN@PHI,BKN,PHI,O,Personal,,,,PG/SG
65723-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,33.5999984741211,1,8700,UTA@SAC,UTA,SAC,,,,,,PG/SG
65723-14514,C,Nikola,Nikola Vucevic,Vucevic,36,1,8700,NO@CHI,CHI,NO,,,,,,C
65723-23798,SG/SF,Caris,Caris LeVert,LeVert,37.4106393367686,47,8500,IND@WAS,IND,WAS,O,Back,,,,SG/SF
65723-80810,PG,De'Aaron,De'Aaron Fox,Fox,43,1,8500,UTA@SAC,SAC,UTA,,,,,,PG
65723-67026,SF/SG,Jaylen,Jaylen Brown,Brown,73.8000030517578,1,8500,TOR@BOS,BOS,TOR,,,,,,SG/SF
