Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
68187-9646,SF/PF,Kevin,Kevin Durant,Durant,47.0681818181818,22,10800,BKN@DAL,BKN,DAL,,,,,,SF/PF
68187-9644,SG/PG,James,James Harden,Harden,46.0304326596467,23,10600,BKN@DAL,BKN,DAL,,,,,,PG/SG
68187-9488,SF/PF,LeBron,LeBron James,James,46.3416646321615,12,10500,BOS@LAL,LAL,BOS,GTD,Abdomen,,,,SF/PF
68187-84669,PG/SG,Luka,Luka Doncic,Doncic,48.1944444444444,18,10300,BKN@DAL,DAL,BKN,GTD,Ankle,,,,PG/SG
68187-15755,PF/C,Anthony,Anthony Davis,Davis,49.3260869565217,23,10000,BOS@LAL,LAL,BOS,GTD,Thumb,,,,PF/C
68187-67708,PG/SG,Dejounte,Dejounte Murray,Murray,46.6681795987216,22,9900,NY@SA,SA,NY,,,,,,PG/SG
68187-80808,SF/PF,Jayson,Jayson Tatum,Tatum,43.6541646321615,24,9700,BOS@LAL,BOS,LAL,,,,,,SF/PF
68187-9642,PG,Russell,Russell Westbrook,Westbrook,42.591667175293,24,9500,BOS@LAL,LAL,BOS,,,,,,PG
68187-14498,PG/SG,Kyrie,Kyrie Irving,Irving,44.5515632629395,64,8900,BKN@DAL,BKN,DAL,O,Not injury related,,,,PG/SG
68187-42669,PF/C,Julius,Julius Randle,Randle,40.8347831394361,23,8700,NY@SA,NY,SA,,,,,,PF/C
68187-63122,PF/C,Kristaps,Kristaps Porzingis,Porzingis,38.3666666666667,15,8500,BKN@DAL,DAL,BKN,GTD,Knee,,,,PF/C
68187-49675,PG,Derrick,Derrick White,White,29.3727278275923,22,7800,NY@SA,SA,NY,,,,,,PG
68187-67026,SF/SG,Jaylen,Jaylen Brown,Brown,33.2384620079627,13,7000,BOS@LAL,BOS,LAL,O,Hamstring,,,,SG/SF
68187-9453,PF/C,Al,Al Horford,Horford,34.1649993896484,20,6800,BOS@LAL,BOS,LAL,,,,,,PF/C
68187-14510,SG/SF,Alec,Alec Burks,Burks,22.6869559909986,23,6500,NY@SA,NY,SA,,,,,,SG/SF
68187-84708,PF/C,Robert,Robert Williams,Williams,28.1999996409697,17,6400,BOS@LAL,BOS,LAL,,,,,,PF/C
