,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,67046-9524,PG,Stephen,Stephen Curry,Curry,46.9,13.0,10800,GS@BKN,GS,BKN,,,,,,PG
1,67046-9646,SF/PF,Kevin,Kevin Durant,Durant,52.3,14.0,10600,GS@BKN,BKN,GS,,,,,,SF/PF
2,67046-9644,SG/PG,James,James Harden,Harden,49.5,14.0,10200,GS@BKN,BKN,GS,,,,,,PG/SG
3,67046-12341,SG/SF,Paul,Paul George,George,47.7,13.0,10000,SA@LAC,LAC,SA,,,,,,SG/SF
4,67046-67708,PG/SG,Dejounte,Dejounte Murray,Murray,38.3,13.0,9800,SA@LAC,SA,LAC,,,,,,PG/SG
7,67046-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,42.0,12.0,8800,PHI@UTA,UTA,PHI,,,,,,PG/SG
8,67046-15557,C,Andre,Andre Drummond,Drummond,38.6,13.0,8500,PHI@UTA,PHI,UTA,,,,,,C
9,67046-40203,C,Rudy,Rudy Gobert,Gobert,41.1,13.0,8300,PHI@UTA,UTA,PHI,,,,,,C
10,67046-145331,PG/SG,Tyrese,Tyrese Maxey,Maxey,33.3,14.0,8100,PHI@UTA,PHI,UTA,,,,,,PG/SG
12,67046-14518,PF/SF,Tobias,Tobias Harris,Harris,40.6,8.0,7700,PHI@UTA,PHI,UTA,,,,,,SF/PF
14,67046-15860,PF/C,Draymond,Draymond Green,Green,32.7,13.0,7000,GS@BKN,GS,BKN,,,,,,PF/C
15,67046-110347,PF/SF,Keldon,Keldon Johnson,Johnson,27.5,13.0,6900,SA@LAC,SA,LAC,,,,,,SF/PF
16,67046-49116,SG/SF,Andrew,Andrew Wiggins,Wiggins,30.7,13.0,6600,GS@BKN,GS,BKN,,,,,,SG/SF
17,67046-12355,SG/PG,Eric,Eric Bledsoe,Bledsoe,23.5,13.0,6000,SA@LAC,LAC,SA,,,,,,PG/SG
18,67046-9809,SF/PF,Nicolas,Nicolas Batum,Batum,25.1,12.0,6000,SA@LAC,LAC,SA,,,,,,SF/PF
19,67046-14523,PG/SG,Reggie,Reggie Jackson,Jackson,33.9,13.0,6000,SA@LAC,LAC,SA,,,,,,PG/SG
20,67046-9666,PF/C,Thaddeus,Thaddeus Young,Young,32.4,10.0,5900,SA@LAC,SA,LAC,,,,,,PF/C
21,67046-9575,PG,Mike,Mike Conley,Conley,28.7,11.0,5700,PHI@UTA,UTA,PHI,,,,,,PG
22,67046-145324,SG,Devin,Devin Vassell,Vassell,27.7,13.0,5700,SA@LAC,SA,LAC,,,,,,SG
23,67046-15583,PG/SG,Seth,Seth Curry,Curry,25.7,13.0,5700,PHI@UTA,PHI,UTA,,,,,,PG/SG
24,67046-110322,PG/SG,Jordan,Jordan Poole,Poole,28.0,13.0,5700,GS@BKN,GS,BKN,,,,,,PG/SG
25,67046-70827,C,Ivica,Ivica Zubac,Zubac,23.6,13.0,5600,SA@LAC,LAC,SA,,,,,,C
26,67046-9688,C/PF,LaMarcus,LaMarcus Aldridge,Aldridge,27.3,13.0,5600,GS@BKN,BKN,GS,,,,,,PF/C
27,67046-20640,PG/SG,Jordan,Jordan Clarkson,Clarkson,24.1,13.0,5300,PHI@UTA,UTA,PHI,,,,,,PG/SG
28,67046-97263,C/PF,Drew,Drew Eubanks,Eubanks,25.3,13.0,5300,SA@LAC,SA,LAC,,,,,,PF/C
29,67046-49675,PG/SG,Derrick,Derrick White,White,27.8,13.0,5200,SA@LAC,SA,LAC,,,,,,PG/SG
30,67046-70826,SG/SF,Furkan,Furkan Korkmaz,Korkmaz,20.7,13.0,5200,PHI@UTA,PHI,UTA,,,,,,SG/SF
31,67046-14530,SF/PF,Bojan,Bojan Bogdanovic,Bogdanovic,25.3,13.0,5100,PHI@UTA,UTA,PHI,,,,,,SF/PF
32,67046-84691,PG/SG,Shake,Shake Milton,Milton,21.8,10.0,5100,PHI@UTA,PHI,UTA,,,,,,PG/SG
33,67046-18338,SF/PF,Royce,Royce O'Neale,O'Neale,21.8,13.0,5000,PHI@UTA,UTA,PHI,,,,,,SF/PF
