,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,FP,Value
0,65523-39280,RB,Derrick,Derrick Henry,Henry,19.0,6,11000,KC@TEN,TEN,KC,,,,,,RB/FLEX,,
1,65523-55050,RB,Christian,Christian McCaffrey,McCaffrey,0.0,3,10000,CAR@NYG,CAR,NYG,IR,Hamstring,,,,RB/FLEX,,
2,65523-45889,WR,Davante,Davante Adams,Adams,17.325,6,9000,WAS@GB,GB,WAS,,,,,,WR/FLEX,,
3,65523-57439,QB,Patrick,Patrick Mahomes,Mahomes,27.195,6,8800,KC@TEN,KC,TEN,,,,,,QB,,
4,65523-79970,WR,Cooper,Cooper Kupp,Kupp,16.72,6,8800,DET@LAR,LAR,DET,,,,,,WR/FLEX,,
5,65523-63484,QB,Kyler,Kyler Murray,Murray,26.23425,6,8700,HOU@ARI,ARI,HOU,,,,,,QB,,
6,65523-53681,WR,Tyreek,Tyreek Hill,Hill,19.215,6,8500,KC@TEN,KC,TEN,Q,Quadriceps,,,,WR/FLEX,,
7,65523-40442,RB,Aaron,Aaron Jones,Jones,16.8,6,8500,WAS@GB,GB,WAS,,,,,,RB/FLEX,,
8,65523-63115,QB,Lamar,Lamar Jackson,Jackson,25.688250000000004,6,8400,CIN@BAL,BAL,CIN,,,,,,QB,,
9,65523-69531,QB,Jalen,Jalen Hurts,Hurts,21.7455,6,8300,PHI@LV,PHI,LV,,,,,,QB,,
10,65523-33076,TE,Travis,Travis Kelce,Kelce,16.3,6,8200,KC@TEN,KC,TEN,,,,,,TE/FLEX,,
11,65523-6654,QB,Matthew,Matthew Stafford,Stafford,23.840249999999997,6,8100,DET@LAR,LAR,DET,,,,,,QB,,
12,65523-30733,WR/RB,Cordarrelle,Cordarrelle Patterson,Patterson,12.1,5,8000,ATL@MIA,ATL,MIA,,,,,,RB/WR/FLEX,,
13,65523-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,14.06,6,8000,HOU@ARI,ARI,HOU,,,,,,WR/FLEX,,
14,65523-6498,QB,Tom,Tom Brady,Brady,22.680000000000003,6,8000,CHI@TB,TB,CHI,,,,,,QB,,
15,65523-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,,5,8000,DET@LAR,LAR,DET,,,,,,RB/FLEX,,
16,65523-6894,QB,Aaron,Aaron Rodgers,Rodgers,22.160250000000005,6,7900,WAS@GB,GB,WAS,,,,,,QB,,
17,65523-63589,QB,Sam,Sam Darnold,Darnold,18.081,6,7700,CAR@NYG,CAR,NYG,,,,,,QB,,
18,65523-63043,WR,DJ,DJ Moore,Moore,,6,7700,CAR@NYG,CAR,NYG,,,,,,WR/FLEX,,
19,65523-21948,QB,Ryan,Ryan Tannehill,Tannehill,20.37,6,7600,KC@TEN,TEN,KC,,,,,,QB,,
20,65523-52436,TE,Mark,Mark Andrews,Andrews,12.285,6,7500,CIN@BAL,BAL,CIN,,,,,,TE/FLEX,,
21,65523-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,11.9,6,7500,CIN@BAL,CIN,BAL,,,,,,WR/FLEX,,
22,65523-11612,WR,Antonio,Antonio Brown,Brown,0.0,5,7400,CHI@TB,TB,CHI,O,Ankle,,,,WR/FLEX,,
23,65523-45859,QB,Derek,Derek Carr,Carr,20.265,6,7400,PHI@LV,LV,PHI,,,,,,QB,,
24,65523-64555,WR,Calvin,Calvin Ridley,Ridley,15.75,4,7300,ATL@MIA,ATL,MIA,,,,,,WR/FLEX,,
25,65523-87467,RB,Chuba,Chuba Hubbard,Hubbard,16.5375,6,7300,CAR@NYG,CAR,NYG,,,,,,RB/FLEX,,
26,65523-6616,QB,Matt,Matt Ryan,Ryan,18.69,5,7300,ATL@MIA,ATL,MIA,,,,,,QB,,
27,65523-86687,WR,Marquise,Marquise Brown,Brown,11.13,6,7300,CIN@BAL,BAL,CIN,,,,,,WR/FLEX,,
28,65523-52442,RB,Joe,Joe Mixon,Mixon,13.4,6,7200,CIN@BAL,CIN,BAL,,,,,,RB/FLEX,,
29,65523-63336,QB,Joe,Joe Burrow,Burrow,17.85,6,7200,CIN@BAL,CIN,BAL,,,,,,QB,,
30,65523-56250,WR,Terry,Terry McLaurin,McLaurin,10.924999999999999,6,7200,WAS@GB,WAS,GB,,,,,,WR/FLEX,,
31,65523-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,19.005000000000003,3,7100,ATL@MIA,MIA,ATL,,,,,,QB,,
32,65523-91598,RB,D'Andre,D'Andre Swift,Swift,12.825,6,7100,DET@LAR,DET,LAR,Q,Groin,,,,RB/FLEX,,
33,65523-32384,WR,Mike,Mike Evans,Evans,13.9,6,7100,CHI@TB,TB,CHI,,,,,,WR/FLEX,,
