Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65831-15755,PF/C,Anthony,Anthony Davis,Davis,54.25,2,10600,MEM@LAL,LAL,MEM,,,,,,PF/C
65831-9488,SF/PF,LeBron,LeBron James,James,46.2999992370605,2,10200,MEM@LAL,LAL,MEM,,,,,,SF/PF
65831-9524,PG,Stephen,Stephen Curry,Curry,55.75,2,10200,GS@SAC,GS,SAC,,,,,,PG
65831-49111,C,Joel,Joel Embiid,Embiid,45.6500015258789,2,9900,PHI@OKC,PHI,OKC,GTD,Knee,,,,C
65831-80808,SF/PF,Jayson,Jayson Tatum,Tatum,35.7000007629395,2,9800,BOS@HOU,BOS,HOU,,,,,,SF/PF
65831-42669,PF/C,Julius,Julius Randle,Randle,52.7999992370606,2,9500,ORL@NY,NY,ORL,,,,,,PF/C
65831-9642,PG/SG,Russell,Russell Westbrook,Westbrook,31.3500003814697,2,9100,MEM@LAL,LAL,MEM,,,,,,PG/SG
65831-110344,PG,Ja,Ja Morant,Morant,48.7999992370605,2,9000,MEM@LAL,MEM,LAL,,,,,,PG
65831-80810,PG,De'Aaron,De'Aaron Fox,Fox,39.0499992370605,2,8500,GS@SAC,SAC,GS,,,,,,PG
65831-67026,SF/SG,Jaylen,Jaylen Brown,Brown,41.2999992370605,2,8500,BOS@HOU,BOS,HOU,O,Knee,,,,SG/SF
65831-42202,PF/C,Christian,Christian Wood,Wood,46.7999992370605,2,8100,BOS@HOU,HOU,BOS,,,,,,PF/C
65831-66115,PG,Ben,Ben Simmons,Simmons,37.2271414620536,70,7800,PHI@OKC,PHI,OKC,O,Personal,,,,PG
65831-14518,PF/SF,Tobias,Tobias Harris,Harris,38.4000015258789,2,7600,PHI@OKC,PHI,OKC,,,,,,SF/PF
65831-23447,C/PF,Richaun,Richaun Holmes,Holmes,38.5999984741211,2,7500,GS@SAC,SAC,GS,,,,,,PF/C
65831-15946,SF/PF,Harrison,Harrison Barnes,Barnes,50.9000015258789,2,7400,GS@SAC,SAC,GS,,,,,,SF/PF
65831-84708,PF/C,Robert,Robert Williams,Williams,41.3499984741211,2,7000,BOS@HOU,BOS,HOU,,,,,,PF/C
65831-49116,SG/SF,Andrew,Andrew Wiggins,Wiggins,27.7999992370605,2,6900,GS@SAC,GS,SAC,,,,,,SG/SF
65831-84675,C/PF,Mo,Mo Bamba,Bamba,38.6500015258789,2,6800,ORL@NY,ORL,NY,,,,,,PF/C
65831-84680,SG/PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,20.2999992370605,2,6800,PHI@OKC,OKC,PHI,,,,,,PG/SG
65831-84683,PF/C,Jaren,Jaren Jackson,Jackson,33.7999992370605,2,6700,MEM@LAL,MEM,LAL,,,,,,PF/C
65831-15860,PF/C,Draymond,Draymond Green,Green,26.1499996185303,2,6600,GS@SAC,GS,SAC,,,,,,PF/C
65831-23670,SG/PG,Marcus,Marcus Smart,Smart,26.5499992370605,2,6500,BOS@HOU,BOS,HOU,,,,,,PG/SG
65831-23096,SF/SG,Evan,Evan Fournier,Fournier,43.2999992370606,2,6300,ORL@NY,NY,ORL,,,,,,SG/SF
65831-84709,C,Mitchell,Mitchell Robinson,Robinson,28.3500003814697,2,6300,ORL@NY,NY,ORL,,,,,,C
65831-23665,SG/SF,Buddy,Buddy Hield,Hield,28.5499992370605,2,6200,GS@SAC,SAC,GS,,,,,,SG/SF
65831-110345,SF/PG,Kevin,Kevin Porter,Porter,29.8500003814697,2,6000,BOS@HOU,HOU,BOS,,,,,,PG/SF
65831-23716,SF/PF,Kyle,Kyle Anderson,Anderson,25.1499996185303,2,6000,MEM@LAL,MEM,LAL,,,,,,SF/PF
65831-145337,PG/SG,Tyrese,Tyrese Haliburton,Haliburton,25,2,6000,GS@SAC,SAC,GS,,,,,,PG/SG
65831-15557,C,Andre,Andre Drummond,Drummond,34.4500007629395,2,6000,PHI@OKC,PHI,OKC,O,Ankle,,,,C
65831-110357,SF/SG,RJ,RJ Barrett,Barrett,28.9500007629395,2,5900,ORL@NY,NY,ORL,,,,,,SG/SF
