Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
69815-84709,C,Mitchell,Mitchell Robinson,Robinson,23.5441176470588,34,5400,BOS@NY,NY,BOS,,,,,,C
69815-40201,PG/SG,Dennis,Dennis Schroder,Schroder,27.9483878843246,31,5300,BOS@NY,BOS,NY,,,,,,PG/SG
69815-11074,SF,Garrett,Garrett Temple,Temple,14.4666663275825,36,5300,GS@NO,NO,GS,,,,,,SF
69815-40561,PG,Derrick,Derrick Walton,Walton,28.1666666666667,3,5300,DET@MEM,DET,MEM,,,,,,PG
69815-58519,SG,Gary,Gary Payton,Payton,17.8027784559462,36,5300,GS@NO,GS,NO,,,,,,SG
69815-14507,PG,Kemba,Kemba Walker,Walker,25.0208333333333,24,5200,BOS@NY,NY,BOS,O,Knee,,,,PG
69815-80824,PG,Frank,Frank Jackson,Jackson,15.2939397638494,33,5200,DET@MEM,DET,MEM,O,Covid-19,,,,PG
69815-111492,PF,Amir,Amir Coffey,Coffey,11.0519995117187,25,5100,LAC@PHO,LAC,PHO,,,,,,PF
69815-70827,C,Ivica,Ivica Zubac,Zubac,24.8742850167411,35,5100,LAC@PHO,LAC,PHO,O,Covid-19,,,,C
69815-145339,PF,Obi,Obi Toppin,Toppin,16.8424238725142,33,5100,BOS@NY,NY,BOS,,,,,,PF
69815-9739,C,JaVale,JaVale McGee,McGee,22.2794117647059,34,5000,LAC@PHO,PHO,LAC,O,Covid-19,,,,C
69815-23096,SF/SG,Evan,Evan Fournier,Fournier,20.5918925517314,37,5000,BOS@NY,NY,BOS,,,,,,SG/SF
69815-16233,SF/SG,Josh,Josh Richardson,Richardson,19.6269226074219,26,5000,BOS@NY,BOS,NY,,,,,,SG/SF
69815-145335,PG/SG,Payton,Payton Pritchard,Pritchard,9.97096793882309,31,5000,BOS@NY,BOS,NY,O,Covid-19,,,,PG/SG
69815-58081,PG,Tyus,Tyus Jones,Jones,19.2789467259457,38,5000,DET@MEM,MEM,DET,,,,,,PG
69815-110315,SG/SF,Terance,Terance Mann,Mann,21.3567570866765,37,5000,LAC@PHO,LAC,PHO,,,,,,SG/SF
69815-58461,PF,Trey,Trey Lyles,Lyles,16.6969696969697,33,4900,DET@MEM,DET,MEM,,,,,,PF
69815-48567,PG/SG,Cameron,Cameron Payne,Payne,20.3562507629395,32,4900,LAC@PHO,PHO,LAC,,,,,,PG/SG
69815-58576,C/PF,Kevon,Kevon Looney,Looney,18.7189182590794,37,4900,GS@NO,GS,NO,,,,,,PF/C
69815-66046,SG/SF,Luke,Luke Kennard,Kennard,20.5942853655134,35,4900,LAC@PHO,LAC,PHO,O,Covid-19,,,,SG/SF
69815-9475,PG/SG,Derrick,Derrick Rose,Rose,23.9269221379207,26,4700,BOS@NY,NY,BOS,O,Ankle,,,,PG/SG
69815-14516,C,Enes,Enes Freedom,Freedom,13.1619044712612,21,4700,BOS@NY,BOS,NY,,,,,,C
69815-145348,SG/PG,Immanuel,Immanuel Quickley,Quickley,17.7588231703814,34,4700,BOS@NY,NY,BOS,,,,,,PG/SG
69815-110321,SG,Romeo,Romeo Langford,Langford,12.45,30,4700,BOS@NY,BOS,NY,,,,,,SG
69815-9481,C,Taj,Taj Gibson,Gibson,13.7863630814986,22,4600,BOS@NY,NY,BOS,,,,,,C
69815-157807,C,Luka,Luka Garza,Garza,10.2000001271566,24,4600,DET@MEM,DET,MEM,,,,,,C
