"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Gary Brightwell","NYG","2.7","10.1","0.0","0.8","5.4","0.0","0.0","1.8"
"Kalen Ballage","PIT","2.9","7.6","0.1","0.9","4.7","0.0","0.0","1.6"
"Le'Veon Bell","BAL","3.1","10.3","0.0","1.2","5.5","0.0","0.0","1.5"
"Benny Snell Jr.","PIT","2.8","8.7","0.0","0.7","3.0","0.0","0.0","1.5"
"Jaret Patterson","WAS","2.2","8.2","0.1","0.5","3.2","0.0","0.0","1.5"
"J.J. Taylor","NE","2.0","8.3","0.0","0.6","3.5","0.0","0.0","1.5"
"Larry Rountree III","LAC","3.1","11.3","0.0","0.5","2.9","0.0","0.0","1.5"
"Jermar Jefferson","DET","1.3","5.7","0.1","0.2","1.7","0.0","0.0","1.3"
"Damien Williams","CHI","4.2","9.0","0.0","1.2","5.0","0.0","0.0","1.3"
"Kylin Hill","GB","2.1","7.5","0.0","0.5","2.7","0.0","0.0","1.2"
"Eno Benjamin","ARI","1.4","6.2","0.0","0.3","2.4","0.0","0.0","1.2"
"Elijhaa Penny","NYG","1.8","6.2","0.0","0.4","2.5","0.0","0.0","1.2"
"Rex Burkhead","HOU","1.2","3.9","0.0","0.7","4.8","0.0","0.0","1.1"
"Jalen Richard","LV","0.7","2.3","0.0","1.0","7.4","0.0","0.0","1.1"
"Anthony McFarland Jr.","PIT","1.8","5.4","0.0","0.8","3.6","0.0","0.0","1.0"
"Ameer Abdullah","MIN","1.5","5.8","0.0","0.6","3.5","0.0","0.0","1.0"
"Darrynton Evans","TEN","1.7","5.5","0.0","0.6","3.4","0.0","0.0","1.0"
"Patrick Ricard","BAL","0.9","2.2","0.0","0.9","5.6","0.0","0.0","1.0"
"Dare Ogunbowale","JAC","1.4","4.5","0.0","0.7","4.3","0.0","0.0","1.0"
"Boston Scott","PHI","1.4","4.4","0.0","0.6","3.2","0.0","0.0","1.0"
"Jake Funk","LAR","1.7","5.6","0.0","0.4","2.0","0.0","0.0","1.0"
"Matt Breida","BUF","2.1","7.4","0.0","0.5","1.7","0.0","0.0","0.9"
"C.J. Ham","MIN","0.7","2.0","0.0","0.7","5.0","0.0","0.0","0.8"
"Corey Clement","DAL","1.2","4.2","0.0","0.2","1.2","0.0","0.0","0.7"
"Jason Cabinda","DET","1.7","3.5","0.0","0.3","3.2","0.0","0.0","0.7"
"Michael Burton","KC","0.9","2.8","0.0","0.5","3.0","0.0","0.0","0.7"
"Alec Ingold","LV","0.4","1.0","0.0","0.6","4.4","0.0","0.0","0.7"
