Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65214-70206,RB,Jason,Jason Huntley,Huntley,0,5,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-33472,RB,C.J.,C.J. Prosise,Prosise,0,5,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-86472,WR,John,John Hightower,Hightower,0,10,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-69451,TE,Jack,Jack Stoll,Stoll,0,1,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-30800,TE,Jason,Jason Croom,Croom,0,1,5000,TB@PHI,PHI,TB,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
65214-130265,WR,John,John Hurst,Hurst,0,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-21980,WR,Alshon,Alshon Jeffery,Jeffery,0,8,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-130268,WR,Josh,Josh Pearson,Pearson,0,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-66402,TE,Jack,Jack Driscoll,Driscoll,0,1,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-64357,WR,Michael,Michael Walker,Walker,0,2,5000,TB@PHI,PHI,TB,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
65214-72676,RB,Troymaine,Troymaine Pope,Pope,0,4,5000,TB@PHI,TB,PHI,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
65214-61798,QB,Gardner,Gardner Minshew II,Minshew II,0,9,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-62566,QB,Travis,Travis Jonsen,Jonsen,0,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-63078,RB,Ke'Shawn,Ke'Shawn Vaughn,Vaughn,0,7,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-14194,QB,Blaine,Blaine Gabbert,Gabbert,0,2,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-94453,RB,Darwin,Darwin Thompson,Thompson,0,5,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-57208,WR,KeeSean,KeeSean Johnson,Johnson,0,10,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
