,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,66075-84669,PG/SG,Luka,Luka Doncic,Doncic,54.263999999999996,3.0,10700,SA@DAL,DAL,SA,,,,,,PG/SG
1,66075-9524,PG,Stephen,Stephen Curry,Curry,50.19,4.0,10400,MEM@GS,GS,MEM,,,,,,PG
2,66075-110344,PG,Ja,Ja Morant,Morant,42.8,4.0,10000,MEM@GS,MEM,GS,,,,,,PG
3,66075-42669,PF/C,Julius,Julius Randle,Randle,43.8,4.0,9900,NY@CHI,NY,CHI,,,,,,PF/C
4,66075-49111,C,Joel,Joel Embiid,Embiid,51.975,4.0,9500,DET@PHI,PHI,DET,GTD,Knee,,,,C
5,66075-84671,PG,Trae,Trae Young,Young,48.730500000000006,4.0,9000,ATL@WAS,ATL,WAS,GTD,Lower leg,,,,PG
6,66075-14514,C,Nikola,Nikola Vucevic,Vucevic,44.94,4.0,8700,NY@CHI,CHI,NY,,,,,,C
7,66075-15595,SG/PG,Bradley,Bradley Beal,Beal,42.839999999999996,3.0,8700,ATL@WAS,WAS,ATL,,,,,,PG/SG
8,66075-42202,PF/C,Christian,Christian Wood,Wood,37.24,4.0,8600,UTA@HOU,HOU,UTA,,,,,,PF/C
9,66075-40783,SG/PG,Zach,Zach LaVine,LaVine,37.1,4.0,8500,NY@CHI,CHI,NY,GTD,Thumb,,,,PG/SG
10,66075-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,41.685,3.0,8300,UTA@HOU,UTA,HOU,,,,,,PG/SG
11,66075-67708,PG/SG,Dejounte,Dejounte Murray,Murray,40.95,4.0,8300,SA@DAL,SA,DAL,,,,,,PG/SG
12,66075-40203,C,Rudy,Rudy Gobert,Gobert,43.47,3.0,8300,UTA@HOU,UTA,HOU,,,,,,C
13,66075-66115,PG,Ben,Ben Simmons,Simmons,0.0,70.0,7800,DET@PHI,PHI,DET,O,Personal,,,,PG
