,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,67773-55062,C,Nikola,Nikola Jokic,Jokic,53.0,14.0,11300,DEN@MIA,DEN,MIA,GTD,Wrist,,,,C
1,67773-84669,PG/SG,Luka,Luka Doncic,Doncic,51.2,15.0,10600,CLE@DAL,DAL,CLE,,,,,,PG/SG
2,67773-49111,C,Joel,Joel Embiid,Embiid,45.9,10.0,10100,ORL@PHI,PHI,ORL,,,,,,C
3,67773-67708,PG/SG,Dejounte,Dejounte Murray,Murray,41.7,18.0,10000,WAS@SA,SA,WAS,,,,,,PG/SG
4,67773-14528,SF/SG,Jimmy,Jimmy Butler,Butler,44.1,17.0,9700,DEN@MIA,MIA,DEN,GTD,Back,,,,SG/SF
5,67773-145485,PG,LaMelo,LaMelo Ball,Ball,43.4,22.0,9600,CHA@CHI,CHA,CHI,,,,,,PG
6,67773-12341,SG/SF,Paul,Paul George,George,43.9,20.0,9200,NO@LAC,LAC,NO,,,,,,SG/SF
7,67773-40203,C,Rudy,Rudy Gobert,Gobert,36.8,20.0,8900,POR@UTA,UTA,POR,,,,,,C
8,67773-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,44.6,20.0,8800,IND@MIN,MIN,IND,,,,,,C
9,67773-63122,PF/C,Kristaps,Kristaps Porzingis,Porzingis,37.8,13.0,8700,CLE@DAL,DAL,CLE,,,,,,PF/C
10,67773-15595,SG,Bradley,Bradley Beal,Beal,40.4,17.0,8700,WAS@SA,WAS,SA,,,,,,SG
11,67773-20848,PG,Damian,Damian Lillard,Lillard,42.9,19.0,8600,POR@UTA,POR,UTA,,,,,,PG
13,67773-9714,SG/SF,DeMar,DeMar DeRozan,DeRozan,39.9,21.0,8400,CHA@CHI,CHI,CHA,,,,,,SG/SF
14,67773-59358,PF/C,Domantas,Domantas Sabonis,Sabonis,37.7,22.0,8300,IND@MIN,IND,MIN,,,,,,PF/C
15,67773-84680,SG/PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,35.7,17.0,8200,OKC@HOU,OKC,HOU,,,,,,PG/SG
