,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,66117-55062,C,Nikola,Nikola Jokic,Jokic,53.655,4.0,11100,DAL@DEN,DEN,DAL,GTD,Knee,,,,C
1,66117-9646,SF/PF,Kevin,Kevin Durant,Durant,48.8775,5.0,10900,IND@BKN,BKN,IND,,,,,,SF/PF
2,66117-84669,PG/SG,Luka,Luka Doncic,Doncic,58.43250000000001,4.0,10700,DAL@DEN,DAL,DEN,,,,,,PG/SG
3,66117-15755,PF/C,Anthony,Anthony Davis,Davis,49.14,5.0,10600,CLE@LAL,LAL,CLE,GTD,Knee,,,,PF/C
4,66117-12341,SG/SF,Paul,Paul George,George,48.069,4.0,10100,LAC@POR,LAC,POR,,,,,,SG/SF
5,66117-9488,SF/PF,LeBron,LeBron James,James,39.4,3.0,10000,CLE@LAL,LAL,CLE,GTD,Ankle,,,,SF/PF
6,66117-9644,SG/PG,James,James Harden,Harden,44.687999999999995,5.0,9800,IND@BKN,BKN,IND,,,,,,PG/SG
7,66117-9642,PG/SG,Russell,Russell Westbrook,Westbrook,46.62,5.0,9400,CLE@LAL,LAL,CLE,,,,,,PG/SG
8,66117-59358,PF/C,Domantas,Domantas Sabonis,Sabonis,52.589250000000014,5.0,9300,IND@BKN,IND,BKN,,,,,,PF/C
9,66117-14528,SF/SG,Jimmy,Jimmy Butler,Butler,47.98500000000001,4.0,9200,CHA@MIA,MIA,CHA,,,,,,SG/SF
10,66117-14498,PG/SG,Kyrie,Kyrie Irving,Irving,,64.0,8800,IND@BKN,BKN,IND,O,Personal,,,,PG/SG
11,66117-19067,SG,CJ,CJ McCollum,McCollum,,4.0,8700,LAC@POR,POR,LAC,,,,,,SG
12,66117-60021,PF,Pascal,Pascal Siakam,Siakam,,56.0,8500,ORL@TOR,TOR,ORL,O,Shoulder,,,,PF
13,66117-20848,PG,Damian,Damian Lillard,Lillard,47.297250000000005,4.0,8400,LAC@POR,POR,LAC,,,,,,PG
14,66117-110310,PF,Zion,Zion Williamson,Williamson,,62.0,8300,SAC@NO,NO,SAC,O,Foot,,,,PF
15,66117-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,0.0,5.0,8300,IND@BKN,IND,BKN,O,Hamstring,,,,PG/SG
16,66117-66048,SF,Brandon,Brandon Ingram,Ingram,40.11000000000001,5.0,8200,SAC@NO,NO,SAC,,,,,,SF
17,66117-14503,C,Jonas,Jonas Valanciunas,Valanciunas,43.365,5.0,8200,SAC@NO,NO,SAC,,,,,,C
18,66117-24247,SG/PG,Fred,Fred VanVleet,VanVleet,42.11550000000001,5.0,8100,ORL@TOR,TOR,ORL,,,,,,PG/SG
19,66117-84678,SF,Miles,Miles Bridges,Bridges,36.225,5.0,8000,CHA@MIA,CHA,MIA,,,,,,SF
20,66117-80810,PG,De'Aaron,De'Aaron Fox,Fox,42.945,4.0,8000,SAC@NO,SAC,NO,,,,,,PG
21,66117-80817,C/PF,Bam,Bam Adebayo,Adebayo,43.785000000000004,4.0,8000,CHA@MIA,MIA,CHA,GTD,Knee,,,,PF/C
22,66117-145485,PG,LaMelo,LaMelo Ball,Ball,38.955000000000005,5.0,7900,CHA@MIA,CHA,MIA,,,,,,PG
23,66117-23798,SG/SF,Caris,Caris LeVert,LeVert,31.919999999999998,47.0,7900,IND@BKN,IND,BKN,GTD,Back,,,,SG/SF
24,66117-15946,SF/PF,Harrison,Harrison Barnes,Barnes,34.33500000000001,4.0,7800,SAC@NO,SAC,NO,,,,,,SF/PF
25,66117-23447,C/PF,Richaun,Richaun Holmes,Holmes,33.495,4.0,7500,SAC@NO,SAC,NO,,,,,,PF/C
26,66117-55057,C,Jusuf,Jusuf Nurkic,Nurkic,39.910500000000006,4.0,7200,LAC@POR,POR,LAC,,,,,,C
27,66117-68090,SG/SF,OG,OG Anunoby,Anunoby,36.27225000000001,5.0,7200,ORL@TOR,TOR,ORL,,,,,,SG/SF
28,66117-80821,C/PF,Jarrett,Jarrett Allen,Allen,32.97,5.0,7100,CLE@LAL,CLE,LAL,,,,,,PF/C
29,66117-63122,PF/C,Kristaps,Kristaps Porzingis,Porzingis,0.0,3.0,7000,DAL@DEN,DAL,DEN,O,Back,,,,PF/C
30,66117-84667,SG/PG,Collin,Collin Sexton,Sexton,34.33500000000001,5.0,6900,CLE@LAL,CLE,LAL,,,,,,PG/SG
31,66117-84682,PF/SF,Michael,Michael Porter,Porter,34.65,4.0,6800,DAL@DEN,DEN,DAL,,,,,,SF/PF
32,66117-145327,PG/SG,Cole,Cole Anthony,Anthony,33.18,5.0,6700,ORL@TOR,ORL,TOR,,,,,,PG/SG
33,66117-12366,SF/SG,Gordon,Gordon Hayward,Hayward,32.76,5.0,6600,CHA@MIA,CHA,MIA,,,,,,SG/SF
34,66117-157845,C/PF,Evan,Evan Mobley,Mobley,34.65,5.0,6600,CLE@LAL,CLE,LAL,,,,,,PF/C
35,66117-84675,C/PF,Mo,Mo Bamba,Bamba,,5.0,6500,ORL@TOR,ORL,TOR,,,,,,PF/C
36,66117-110342,PG/SG,Darius,Darius Garland,Garland,32.34,3.0,6500,CLE@LAL,CLE,LAL,,,,,,PG/SG
37,66117-110312,SG/SF,Tyler,Tyler Herro,Herro,31.5,4.0,6400,CHA@MIA,MIA,CHA,,,,,,SG/SF
