PG,PG,SG,SG,SF,SF,PF,PF,C
65682-110322,65682-84669,65682-16261,65682-14523,65682-40199,65682-110315,65682-145313,65682-63122,65682-70827
65682-9703,65682-9524,65682-14528,65682-12341,65682-110338,65682-110312,65682-80817,65682-66236,65682-157846
65682-9703,65682-84669,65682-16261,65682-14523,65682-110338,65682-40199,65682-80817,65682-145313,65682-70827
65682-9703,65682-84669,65682-14528,65682-14523,65682-40199,65682-16261,65682-80825,65682-145313,65682-70827
65682-9524,65682-84671,65682-84711,65682-14528,65682-110338,65682-110315,65682-80817,65682-63122,65682-157846
65682-9703,65682-110322,65682-84669,65682-14523,65682-40199,65682-16261,65682-145313,65682-63122,65682-70827
65682-9703,65682-84669,65682-16261,65682-14523,65682-40199,65682-110315,65682-80817,65682-145313,65682-70827
65682-9524,65682-84671,65682-84711,65682-14528,65682-15993,65682-110315,65682-80817,65682-63122,65682-157846
65682-9703,65682-84669,65682-14528,65682-16261,65682-110338,65682-110315,65682-40199,65682-145313,65682-70827
65682-12355,65682-9703,65682-84669,65682-14523,65682-40199,65682-16261,65682-80817,65682-145313,65682-70827
65682-14523,65682-9524,65682-14528,65682-15993,65682-12341,65682-110315,65682-15860,65682-63122,65682-157846
65682-84669,65682-14523,65682-16261,65682-110312,65682-110338,65682-40199,65682-145313,65682-63122,65682-70827
65682-9703,65682-9524,65682-84669,65682-14523,65682-40199,65682-145313,65682-63122,65682-157846,65682-70827
65682-110322,65682-84669,65682-84711,65682-14523,65682-40199,65682-16261,65682-145313,65682-63122,65682-70827
65682-110322,65682-9524,65682-16261,65682-15993,65682-12341,65682-110315,65682-80817,65682-63122,65682-157846
65682-84669,65682-14523,65682-84711,65682-16261,65682-40199,65682-110315,65682-80817,65682-145313,65682-70827
65682-9703,65682-84669,65682-14528,65682-14523,65682-110338,65682-16261,65682-40199,65682-157846,65682-70827
65682-9703,65682-9524,65682-14528,65682-12341,65682-110338,65682-145313,65682-80817,65682-63122,65682-157846
65682-9703,65682-9524,65682-14528,65682-14523,65682-110338,65682-16261,65682-40199,65682-145313,65682-70827
65682-12355,65682-9703,65682-14528,65682-84669,65682-16261,65682-110315,65682-40199,65682-145313,65682-70827
