,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,65682-40199,PF/SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,60.65532,1.0,11300,MIL@MIA,MIL,MIA,,,,,,SF/PF
1,65682-84669,PG/SG,Luka,Luka Doncic,Doncic,52.02,74.0,11000,DAL@ATL,DAL,ATL,,,,,,PG/SG
2,65682-9524,PG,Stephen,Stephen Curry,Curry,46.59768,1.0,10000,LAC@GS,GS,LAC,,,,,,PG
3,65682-12341,SG/SF,Paul,Paul George,George,45.084,74.0,9900,LAC@GS,LAC,GS,,,,,,SG/SF
4,65682-14513,SF/PF,Kawhi,Kawhi Leonard,Leonard,,64.0,9700,LAC@GS,LAC,GS,O,Knee,,,,SF/PF
5,65682-84671,PG,Trae,Trae Young,Young,43.33776,79.0,9600,DAL@ATL,ATL,DAL,,,,,,PG
6,65682-14528,SF/SG,Jimmy,Jimmy Butler,Butler,43.05012,56.0,9100,MIL@MIA,MIA,MIL,,,,,,SG/SF
7,65682-80817,C/PF,Bam,Bam Adebayo,Adebayo,38.63963999999999,68.0,8200,MIL@MIA,MIA,MIL,,,,,,PF/C
8,65682-16261,SF/SG,Khris,Khris Middleton,Middleton,41.95056,1.0,7800,MIL@MIA,MIL,MIA,,,,,,SG/SF
9,65682-9663,PG/SG,Jrue,Jrue Holiday,Holiday,0.0,1.0,7700,MIL@MIA,MIL,MIA,O,Heel,,,,PG/SG
10,65682-55059,C,Clint,Clint Capela,Capela,32.79096,81.0,7600,DAL@ATL,ATL,DAL,,,,,,C
11,65682-9535,PG,Kyle,Kyle Lowry,Lowry,31.640400000000003,46.0,7200,MIL@MIA,MIA,MIL,,,,,,PG
12,65682-15860,PF/C,Draymond,Draymond Green,Green,31.160999999999998,1.0,7100,LAC@GS,GS,LAC,,,,,,PF/C
13,65682-63122,PF/C,Kristaps,Kristaps Porzingis,Porzingis,35.802,50.0,7000,DAL@ATL,DAL,ATL,,,,,,PF/C
14,65682-49116,SG/SF,Andrew,Andrew Wiggins,Wiggins,26.602,1.0,6900,LAC@GS,GS,LAC,,,,,,SG/SF
15,65682-66236,PF/C,John,John Collins,Collins,29.531039999999997,81.0,6400,DAL@ATL,ATL,DAL,,,,,,PF/C
16,65682-55060,SF/SG,Bogdan,Bogdan Bogdanovic,Bogdanovic,26.8464,62.0,6200,DAL@ATL,ATL,DAL,,,,,,SG/SF
17,65682-9621,C,Brook,Brook Lopez,Lopez,0.0,1.0,5900,MIL@MIA,MIL,MIA,O,Back,,,,C
18,65682-14512,PF/SF,Marcus,Marcus Morris,Morris,22.0,76.0,5400,LAC@GS,LAC,GS,,,,,,SF/PF
19,65682-110322,PG/SG,Jordan,Jordan Poole,Poole,27.42168,1.0,5200,LAC@GS,GS,LAC,,,,,,PG/SG
20,65682-14523,PG/SG,Reggie,Reggie Jackson,Jackson,29.477999999999998,86.0,5000,LAC@GS,LAC,GS,,,,,,PG/SG
21,65682-84704,SG/SF,Kevin,Kevin Huerter,Huerter,15.792,87.0,5000,DAL@ATL,ATL,DAL,,,,,,SG/SF
22,65682-15846,SG/SF,Tim,Tim Hardaway,Hardaway,,77.0,5000,DAL@ATL,DAL,ATL,,,,,,SG/SF
23,65682-14509,SG,Klay,Klay Thompson,Thompson,,,4900,LAC@GS,GS,LAC,O,Achilles,,,,SG
24,65682-110312,SG/SF,Tyler,Tyler Herro,Herro,25.312319999999996,58.0,4900,MIL@MIA,MIA,MIL,,,,,,SG/SF
25,65682-12368,PF,Nemanja,Nemanja Bjelica,Bjelica,17.484,1.0,4800,LAC@GS,GS,LAC,,,,,,PF
26,65682-42156,PF/C,Bobby,Bobby Portis,Portis,,86.0,4800,MIL@MIA,MIL,MIA,O,Hamstring,,,,PF/C
27,65682-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,,69.0,4700,MIL@MIA,MIL,MIA,O,Ankle,,,,SG
28,65682-110339,SG/SF,Cam,Cam Reddish,Reddish,13.442,30.0,4600,DAL@ATL,ATL,DAL,,,,,,SG/SF
29,65682-15684,SG/PG,Victor,Victor Oladipo,Oladipo,,33.0,4600,MIL@MIA,MIA,MIL,O,Quadriceps,,,,PG/SG
30,65682-40830,PG/SG,Delon,Delon Wright,Wright,12.313999999999998,63.0,4600,DAL@ATL,ATL,DAL,,,,,,PG/SG
31,65682-12355,SG/PG,Eric,Eric Bledsoe,Bledsoe,24.48,71.0,4500,LAC@GS,LAC,GS,,,,,,PG/SG
32,65682-9809,SF/PF,Nicolas,Nicolas Batum,Batum,,86.0,4500,LAC@GS,LAC,GS,O,Personal,,,,SF/PF
33,65682-9957,PF/C,Serge,Serge Ibaka,Ibaka,,43.0,4500,LAC@GS,LAC,GS,O,Back,,,,PF/C
