,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,67907-40199,PF/SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,57.2,20.0,11200,CHA@MIL,MIL,CHA,,,,,,SF/PF
1,67907-55062,C,Nikola,Nikola Jokic,Jokic,52.2,15.0,11000,DEN@ORL,DEN,ORL,,,,,,C
2,67907-84669,PG/SG,Luka,Luka Doncic,Doncic,48.1,16.0,10600,DAL@NO,DAL,NO,,,,,,PG/SG
3,67907-49111,C,Joel,Joel Embiid,Embiid,45.6,11.0,10100,PHI@BOS,PHI,BOS,,,,,,C
4,67907-80808,SF/PF,Jayson,Jayson Tatum,Tatum,41.5,21.0,9700,PHI@BOS,BOS,PHI,,,,,,SF/PF
5,67907-145485,PG,LaMelo,LaMelo Ball,Ball,42.8,23.0,9600,CHA@MIL,CHA,MIL,,,,,,PG
6,67907-84671,PG,Trae,Trae Young,Young,45.1,21.0,9400,ATL@IND,ATL,IND,,,,,,PG
7,67907-14528,SF/SG,Jimmy,Jimmy Butler,Butler,45.6,17.0,9200,CLE@MIA,MIA,CLE,GTD,Back,,,,SG/SF
8,67907-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,44.4,21.0,8800,MIN@WAS,MIN,WAS,,,,,,C
9,67907-15595,SG,Bradley,Bradley Beal,Beal,40.6,18.0,8700,MIN@WAS,WAS,MIN,,,,,,SG
11,67907-42202,PF/C,Christian,Christian Wood,Wood,40.4,20.0,8600,HOU@OKC,HOU,OKC,,,,,,PF/C
12,67907-63122,PF/C,Kristaps,Kristaps Porzingis,Porzingis,35.9,14.0,8500,DAL@NO,DAL,NO,GTD,Ankle,,,,PF/C
13,67907-59358,PF/C,Domantas,Domantas Sabonis,Sabonis,41.0,23.0,8500,ATL@IND,IND,ATL,,,,,,PF/C
15,67907-55059,C,Clint,Clint Capela,Capela,39.6,21.0,8400,ATL@IND,ATL,IND,,,,,,C
16,67907-14503,C,Jonas,Jonas Valanciunas,Valanciunas,40.3,23.0,8200,DAL@NO,NO,DAL,,,,,,C
17,67907-84680,SG/PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,38.3,18.0,8200,HOU@OKC,OKC,HOU,,,,,,PG/SG
18,67907-145321,SF/SG,Anthony,Anthony Edwards,Edwards,34.3,21.0,8100,MIN@WAS,MIN,WAS,GTD,Illness,,,,SG/SF
19,67907-84678,SF,Miles,Miles Bridges,Bridges,34.5,23.0,7900,CHA@MIL,CHA,MIL,,,,,,SF
20,67907-58312,SG/PG,D'Angelo,D'Angelo Russell,Russell,34.1,19.0,7900,MIN@WAS,MIN,WAS,,,,,,PG/SG
21,67907-42677,SG/PG,Terry,Terry Rozier,Rozier,32.5,18.0,7800,CHA@MIL,CHA,MIL,,,,,,PG/SG
22,67907-145327,PG/SG,Cole,Cole Anthony,Anthony,35.6,16.0,7800,DEN@ORL,ORL,DEN,,,,,,PG/SG
23,67907-67026,SF/SG,Jaylen,Jaylen Brown,Brown,33.0,12.0,7800,PHI@BOS,BOS,PHI,GTD,Hamstring,,,,SG/SF
25,67907-66236,PF/C,John,John Collins,Collins,33.7,21.0,7700,ATL@IND,ATL,IND,,,,,,PF/C
27,67907-80821,C/PF,Jarrett,Jarrett Allen,Allen,33.4,18.0,7700,CLE@MIA,CLE,MIA,,,,,,PF/C
28,67907-14518,PF/SF,Tobias,Tobias Harris,Harris,34.7,13.0,7600,PHI@BOS,PHI,BOS,,,,,,SF/PF
29,67907-80810,PG,De'Aaron,De'Aaron Fox,Fox,36.0,22.0,7600,SAC@LAC,SAC,LAC,,,,,,PG
30,67907-9663,PG/SG,Jrue,Jrue Holiday,Holiday,34.6,15.0,7500,CHA@MIL,MIL,CHA,,,,,,PG/SG
31,67907-66048,SF,Brandon,Brandon Ingram,Ingram,36.6,16.0,7400,DAL@NO,NO,DAL,,,,,,SF
32,67907-157845,C/PF,Evan,Evan Mobley,Mobley,32.7,17.0,7400,CLE@MIA,CLE,MIA,,,,,,PF/C
33,67907-110342,SG/PG,Darius,Darius Garland,Garland,33.0,19.0,7400,CLE@MIA,CLE,MIA,,,,,,PG/SG
34,67907-84675,C,Mo,Mo Bamba,Bamba,35.0,21.0,7200,DEN@ORL,ORL,DEN,,,,,,C
35,67907-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,35.0,18.0,7200,ATL@IND,IND,ATL,,,,,,PG/SG
36,67907-16261,SF/SG,Khris,Khris Middleton,Middleton,34.2,13.0,7100,CHA@MIL,MIL,CHA,,,,,,SG/SF
37,67907-110312,SG/SF,Tyler,Tyler Herro,Herro,29.7,18.0,7000,CLE@MIA,MIA,CLE,GTD,Rest,,,,SG/SF
38,67907-145331,PG/SG,Tyrese,Tyrese Maxey,Maxey,29.4,21.0,7000,PHI@BOS,PHI,BOS,,,,,,PG/SG
39,67907-12366,SF/SG,Gordon,Gordon Hayward,Hayward,30.2,23.0,6800,CHA@MIL,CHA,MIL,,,,,,SG/SF
40,67907-110345,SF/PG,Kevin,Kevin Porter,Porter,30.1,17.0,6800,HOU@OKC,HOU,OKC,,,,,,PG/SF
41,67907-9535,PG,Kyle,Kyle Lowry,Lowry,34.3,19.0,6800,CLE@MIA,MIA,CLE,,,,,,PG
42,67907-58253,C/PF,Myles,Myles Turner,Turner,31.3,22.0,6700,ATL@IND,IND,ATL,GTD,Illness,,,,PF/C
43,67907-23447,C/PF,Richaun,Richaun Holmes,Holmes,32.9,19.0,6700,SAC@LAC,SAC,LAC,,,,,,PF/C
44,67907-23670,SG/PG,Marcus,Marcus Smart,Smart,27.1,20.0,6600,PHI@BOS,BOS,PHI,,,,,,PG/SG
45,67907-84708,PF/C,Robert,Robert Williams,Williams,31.2,14.0,6600,PHI@BOS,BOS,PHI,,,,,,PF/C
46,67907-15946,SF/PF,Harrison,Harrison Barnes,Barnes,30.6,19.0,6500,SAC@LAC,SAC,LAC,GTD,Foot,,,,SF/PF
47,67907-42156,PF/C,Bobby,Bobby Portis,Portis,33.9,16.0,6500,CHA@MIL,MIL,CHA,,,,,,PF/C
48,67907-84676,PF/C,Wendell,Wendell Carter,Carter,28.9,22.0,6500,DEN@ORL,ORL,DEN,,,,,,PF/C
50,67907-58377,SF/PF,Kyle,Kyle Kuzma,Kuzma,29.5,21.0,6400,MIN@WAS,WAS,MIN,,,,,,SF/PF
